train_dhns_rotate.py:857: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:858: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
Experiment config | model=AdvMixRotatE | dataset=DB15K | seed=0 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=legacy | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=False | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0031%
  available_text_before_injection: 12842
  additionally_masked_text_entities: 3853
Embedding missingness summary:
  num_entities: 12842
  missing_text_count: 3853 (30.0031%)
  missing_image_count: 0 (0.0000%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=39 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=legacy | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 445.710138, DiffHEG loss 266.315631:   0%|          | 0/400 [00:38<?, ?it/s]
Epoch 0 | KGC loss: 445.710138, DiffHEG loss 266.315631:   0%|          | 1/400 [00:38<4:15:58, 38.49s/it]
Epoch 1 | KGC loss: 30.805161, DiffHEG loss 187.148598:   0%|          | 1/400 [01:16<4:15:58, 38.49s/it] 
Epoch 1 | KGC loss: 30.805161, DiffHEG loss 187.148598:   0%|          | 2/400 [01:16<4:14:10, 38.32s/it]
Epoch 2 | KGC loss: 20.375070, DiffHEG loss 186.790977:   0%|          | 2/400 [01:55<4:14:10, 38.32s/it]
Epoch 2 | KGC loss: 20.375070, DiffHEG loss 186.790977:   1%|          | 3/400 [01:55<4:13:33, 38.32s/it]
Epoch 3 | KGC loss: 16.510373, DiffHEG loss 187.031112:   1%|          | 3/400 [02:33<4:13:33, 38.32s/it]
Epoch 3 | KGC loss: 16.510373, DiffHEG loss 187.031112:   1%|          | 4/400 [02:33<4:12:41, 38.29s/it]
Epoch 4 | KGC loss: 14.673740, DiffHEG loss 186.843509:   1%|          | 4/400 [03:11<4:12:41, 38.29s/it]
Epoch 4 | KGC loss: 14.673740, DiffHEG loss 186.843509:   1%|▏         | 5/400 [03:11<4:11:52, 38.26s/it]
Epoch 5 | KGC loss: 13.893779, DiffHEG loss 186.825512:   1%|▏         | 5/400 [03:49<4:11:52, 38.26s/it]
Epoch 5 | KGC loss: 13.893779, DiffHEG loss 186.825512:   2%|▏         | 6/400 [03:49<4:11:06, 38.24s/it]
Epoch 6 | KGC loss: 13.346679, DiffHEG loss 186.922877:   2%|▏         | 6/400 [04:27<4:11:06, 38.24s/it]
Epoch 6 | KGC loss: 13.346679, DiffHEG loss 186.922877:   2%|▏         | 7/400 [04:27<4:10:26, 38.23s/it]
Epoch 7 | KGC loss: 13.197554, DiffHEG loss 186.956593:   2%|▏         | 7/400 [05:06<4:10:26, 38.23s/it]
Epoch 7 | KGC loss: 13.197554, DiffHEG loss 186.956593:   2%|▏         | 8/400 [05:06<4:09:44, 38.23s/it]
Epoch 8 | KGC loss: 12.959104, DiffHEG loss 186.873930:   2%|▏         | 8/400 [05:44<4:09:44, 38.23s/it]
Epoch 8 | KGC loss: 12.959104, DiffHEG loss 186.873930:   2%|▏         | 9/400 [05:44<4:09:03, 38.22s/it]
Epoch 9 | KGC loss: 12.978718, DiffHEG loss 186.880421:   2%|▏         | 9/400 [06:22<4:09:03, 38.22s/it]
Epoch 9 | KGC loss: 12.978718, DiffHEG loss 186.880421:   2%|▎         | 10/400 [06:22<4:08:28, 38.23s/it]
Epoch 10 | KGC loss: 13.009419, DiffHEG loss 186.893272:   2%|▎         | 10/400 [07:00<4:08:28, 38.23s/it]
Epoch 10 | KGC loss: 13.009419, DiffHEG loss 186.893272:   3%|▎         | 11/400 [07:00<4:07:52, 38.23s/it]
Epoch 11 | KGC loss: 13.143028, DiffHEG loss 186.916449:   3%|▎         | 11/400 [07:39<4:07:52, 38.23s/it]
Epoch 11 | KGC loss: 13.143028, DiffHEG loss 186.916449:   3%|▎         | 12/400 [07:39<4:07:23, 38.26s/it]
Epoch 12 | KGC loss: 13.164761, DiffHEG loss 186.950274:   3%|▎         | 12/400 [08:17<4:07:23, 38.26s/it]
Epoch 12 | KGC loss: 13.164761, DiffHEG loss 186.950274:   3%|▎         | 13/400 [08:17<4:06:52, 38.27s/it]
Epoch 13 | KGC loss: 13.348264, DiffHEG loss 186.922220:   3%|▎         | 13/400 [08:55<4:06:52, 38.27s/it]
Epoch 13 | KGC loss: 13.348264, DiffHEG loss 186.922220:   4%|▎         | 14/400 [08:55<4:06:17, 38.28s/it]
Epoch 14 | KGC loss: 13.313358, DiffHEG loss 186.961896:   4%|▎         | 14/400 [09:33<4:06:17, 38.28s/it]
Epoch 14 | KGC loss: 13.313358, DiffHEG loss 186.961896:   4%|▍         | 15/400 [09:33<4:05:35, 38.27s/it]
Epoch 15 | KGC loss: 13.481921, DiffHEG loss 186.959775:   4%|▍         | 15/400 [10:12<4:05:35, 38.27s/it]
Epoch 15 | KGC loss: 13.481921, DiffHEG loss 186.959775:   4%|▍         | 16/400 [10:12<4:04:48, 38.25s/it]
Epoch 16 | KGC loss: 13.502747, DiffHEG loss 186.946531:   4%|▍         | 16/400 [10:50<4:04:48, 38.25s/it]
Epoch 16 | KGC loss: 13.502747, DiffHEG loss 186.946531:   4%|▍         | 17/400 [10:50<4:04:07, 38.24s/it]
Epoch 17 | KGC loss: 13.661146, DiffHEG loss 186.962318:   4%|▍         | 17/400 [11:28<4:04:07, 38.24s/it]
Epoch 17 | KGC loss: 13.661146, DiffHEG loss 186.962318:   4%|▍         | 18/400 [11:28<4:03:24, 38.23s/it]
Epoch 18 | KGC loss: 13.536326, DiffHEG loss 186.960246:   4%|▍         | 18/400 [12:06<4:03:24, 38.23s/it]
Epoch 18 | KGC loss: 13.536326, DiffHEG loss 186.960246:   5%|▍         | 19/400 [12:06<4:02:45, 38.23s/it]
Epoch 19 | KGC loss: 13.668685, DiffHEG loss 186.935067:   5%|▍         | 19/400 [12:45<4:02:45, 38.23s/it]
Epoch 19 | KGC loss: 13.668685, DiffHEG loss 186.935067:   5%|▌         | 20/400 [12:45<4:02:18, 38.26s/it]
Epoch 20 | KGC loss: 13.703112, DiffHEG loss 186.920748:   5%|▌         | 20/400 [13:23<4:02:18, 38.26s/it]
Epoch 20 | KGC loss: 13.703112, DiffHEG loss 186.920748:   5%|▌         | 21/400 [13:23<4:01:42, 38.26s/it]
Epoch 21 | KGC loss: 13.920141, DiffHEG loss 186.923658:   5%|▌         | 21/400 [14:01<4:01:42, 38.26s/it]
Epoch 21 | KGC loss: 13.920141, DiffHEG loss 186.923658:   6%|▌         | 22/400 [14:01<4:01:09, 38.28s/it]
Epoch 22 | KGC loss: 13.821300, DiffHEG loss 186.889157:   6%|▌         | 22/400 [14:40<4:01:09, 38.28s/it]
Epoch 22 | KGC loss: 13.821300, DiffHEG loss 186.889157:   6%|▌         | 23/400 [14:40<4:00:33, 38.29s/it]
Epoch 23 | KGC loss: 13.929572, DiffHEG loss 186.873975:   6%|▌         | 23/400 [15:18<4:00:33, 38.29s/it]
Epoch 23 | KGC loss: 13.929572, DiffHEG loss 186.873975:   6%|▌         | 24/400 [15:18<3:59:56, 38.29s/it]
Epoch 24 | KGC loss: 13.829701, DiffHEG loss 186.893555:   6%|▌         | 24/400 [15:56<3:59:56, 38.29s/it]
Epoch 24 | KGC loss: 13.829701, DiffHEG loss 186.893555:   6%|▋         | 25/400 [15:56<3:59:18, 38.29s/it]
Epoch 25 | KGC loss: 13.898589, DiffHEG loss 186.853333:   6%|▋         | 25/400 [16:34<3:59:18, 38.29s/it]
Epoch 25 | KGC loss: 13.898589, DiffHEG loss 186.853333:   6%|▋         | 26/400 [16:34<3:58:37, 38.28s/it]
Epoch 26 | KGC loss: 13.874659, DiffHEG loss 186.815914:   6%|▋         | 26/400 [17:13<3:58:37, 38.28s/it]
Epoch 26 | KGC loss: 13.874659, DiffHEG loss 186.815914:   7%|▋         | 27/400 [17:13<3:58:01, 38.29s/it]
Epoch 27 | KGC loss: 13.987193, DiffHEG loss 186.770631:   7%|▋         | 27/400 [17:51<3:58:01, 38.29s/it]
Epoch 27 | KGC loss: 13.987193, DiffHEG loss 186.770631:   7%|▋         | 28/400 [17:51<3:57:29, 38.30s/it]
Epoch 28 | KGC loss: 13.911324, DiffHEG loss 186.732458:   7%|▋         | 28/400 [18:29<3:57:29, 38.30s/it]
Epoch 28 | KGC loss: 13.911324, DiffHEG loss 186.732458:   7%|▋         | 29/400 [18:29<3:56:57, 38.32s/it]
Epoch 29 | KGC loss: 13.852641, DiffHEG loss 186.777989:   7%|▋         | 29/400 [19:08<3:56:57, 38.32s/it]
Epoch 29 | KGC loss: 13.852641, DiffHEG loss 186.777989:   8%|▊         | 30/400 [19:08<3:56:22, 38.33s/it]
Epoch 30 | KGC loss: 13.734625, DiffHEG loss 186.799956:   8%|▊         | 30/400 [19:46<3:56:22, 38.33s/it]
Epoch 30 | KGC loss: 13.734625, DiffHEG loss 186.799956:   8%|▊         | 31/400 [19:46<3:55:40, 38.32s/it]
Epoch 31 | KGC loss: 13.839840, DiffHEG loss 186.760204:   8%|▊         | 31/400 [20:24<3:55:40, 38.32s/it]
Epoch 31 | KGC loss: 13.839840, DiffHEG loss 186.760204:   8%|▊         | 32/400 [20:24<3:54:52, 38.30s/it]
Epoch 32 | KGC loss: 13.828602, DiffHEG loss 186.758439:   8%|▊         | 32/400 [21:03<3:54:52, 38.30s/it]
Epoch 32 | KGC loss: 13.828602, DiffHEG loss 186.758439:   8%|▊         | 33/400 [21:03<3:54:18, 38.31s/it]
Epoch 33 | KGC loss: 13.816101, DiffHEG loss 186.716480:   8%|▊         | 33/400 [21:41<3:54:18, 38.31s/it]
Epoch 33 | KGC loss: 13.816101, DiffHEG loss 186.716480:   8%|▊         | 34/400 [21:41<3:53:44, 38.32s/it]
Epoch 34 | KGC loss: 13.776681, DiffHEG loss 186.861685:   8%|▊         | 34/400 [22:19<3:53:44, 38.32s/it]
Epoch 34 | KGC loss: 13.776681, DiffHEG loss 186.861685:   9%|▉         | 35/400 [22:19<3:53:12, 38.33s/it]
Epoch 35 | KGC loss: 13.890527, DiffHEG loss 187.764382:   9%|▉         | 35/400 [22:58<3:53:12, 38.33s/it]
Epoch 35 | KGC loss: 13.890527, DiffHEG loss 187.764382:   9%|▉         | 36/400 [22:58<3:52:23, 38.31s/it]
Epoch 36 | KGC loss: 13.762648, DiffHEG loss 186.745542:   9%|▉         | 36/400 [23:36<3:52:23, 38.31s/it]
Epoch 36 | KGC loss: 13.762648, DiffHEG loss 186.745542:   9%|▉         | 37/400 [23:36<3:51:34, 38.28s/it]
Epoch 37 | KGC loss: 13.814266, DiffHEG loss 186.713127:   9%|▉         | 37/400 [24:14<3:51:34, 38.28s/it]
Epoch 37 | KGC loss: 13.814266, DiffHEG loss 186.713127:  10%|▉         | 38/400 [24:14<3:50:50, 38.26s/it]
Epoch 38 | KGC loss: 13.683930, DiffHEG loss 186.716738:  10%|▉         | 38/400 [24:52<3:50:50, 38.26s/it]
Epoch 38 | KGC loss: 13.683930, DiffHEG loss 186.716738:  10%|▉         | 39/400 [24:52<3:50:04, 38.24s/it]
Epoch 39 | KGC loss: 13.786019, DiffHEG loss 186.721737:  10%|▉         | 39/400 [25:30<3:50:04, 38.24s/it]
Epoch 39 | KGC loss: 13.786019, DiffHEG loss 186.721737:  10%|█         | 40/400 [25:30<3:49:25, 38.24s/it]
Epoch 40 | KGC loss: 13.675092, DiffHEG loss 186.730618:  10%|█         | 40/400 [26:09<3:49:25, 38.24s/it]
Epoch 40 | KGC loss: 13.675092, DiffHEG loss 186.730618:  10%|█         | 41/400 [26:09<3:48:41, 38.22s/it]
