train_dhns_rotate.py:857: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:858: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
Experiment config | model=AdvMixRotatE | dataset=DB15K | seed=0 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.1 | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=True | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=0.25 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Injected text missingness summary:
  requested_additional_missing_rate: 10.0000%
  applied_additional_missing_rate: 9.9984%
  available_text_before_injection: 12842
  additionally_masked_text_entities: 1284
Embedding missingness summary:
  num_entities: 12842
  missing_text_count: 1284 (9.9984%)
  missing_image_count: 0 (0.0000%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=39 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 529.539156, DiffHEG loss 268.591172:   0%|          | 0/400 [00:43<?, ?it/s]
Epoch 0 | KGC loss: 529.539156, DiffHEG loss 268.591172:   0%|          | 1/400 [00:43<4:47:48, 43.28s/it]
Epoch 1 | KGC loss: 23.840315, DiffHEG loss 187.934084:   0%|          | 1/400 [01:26<4:47:48, 43.28s/it] 
Epoch 1 | KGC loss: 23.840315, DiffHEG loss 187.934084:   0%|          | 2/400 [01:26<4:45:58, 43.11s/it]
Epoch 2 | KGC loss: 17.907744, DiffHEG loss 186.868197:   0%|          | 2/400 [02:09<4:45:58, 43.11s/it]
Epoch 2 | KGC loss: 17.907744, DiffHEG loss 186.868197:   1%|          | 3/400 [02:09<4:45:04, 43.08s/it]
Epoch 3 | KGC loss: 15.885757, DiffHEG loss 186.798159:   1%|          | 3/400 [02:52<4:45:04, 43.08s/it]
Epoch 3 | KGC loss: 15.885757, DiffHEG loss 186.798159:   1%|          | 4/400 [02:52<4:44:16, 43.07s/it]
Epoch 4 | KGC loss: 14.704407, DiffHEG loss 186.807759:   1%|          | 4/400 [03:35<4:44:16, 43.07s/it]
Epoch 4 | KGC loss: 14.704407, DiffHEG loss 186.807759:   1%|▏         | 5/400 [03:35<4:43:34, 43.07s/it]
Epoch 5 | KGC loss: 14.251625, DiffHEG loss 186.828778:   1%|▏         | 5/400 [04:18<4:43:34, 43.07s/it]
Epoch 5 | KGC loss: 14.251625, DiffHEG loss 186.828778:   2%|▏         | 6/400 [04:18<4:42:49, 43.07s/it]
Epoch 6 | KGC loss: 13.864238, DiffHEG loss 186.893283:   2%|▏         | 6/400 [05:01<4:42:49, 43.07s/it]
Epoch 6 | KGC loss: 13.864238, DiffHEG loss 186.893283:   2%|▏         | 7/400 [05:01<4:42:09, 43.08s/it]
Epoch 7 | KGC loss: 13.776666, DiffHEG loss 186.864427:   2%|▏         | 7/400 [05:44<4:42:09, 43.08s/it]
Epoch 7 | KGC loss: 13.776666, DiffHEG loss 186.864427:   2%|▏         | 8/400 [05:44<4:41:26, 43.08s/it]
Epoch 8 | KGC loss: 13.581856, DiffHEG loss 186.882824:   2%|▏         | 8/400 [06:27<4:41:26, 43.08s/it]
Epoch 8 | KGC loss: 13.581856, DiffHEG loss 186.882824:   2%|▏         | 9/400 [06:27<4:40:44, 43.08s/it]
Epoch 9 | KGC loss: 13.598478, DiffHEG loss 186.888947:   2%|▏         | 9/400 [07:10<4:40:44, 43.08s/it]
Epoch 9 | KGC loss: 13.598478, DiffHEG loss 186.888947:   2%|▎         | 10/400 [07:10<4:39:58, 43.07s/it]
Epoch 10 | KGC loss: 13.540989, DiffHEG loss 186.912832:   2%|▎         | 10/400 [07:53<4:39:58, 43.07s/it]
Epoch 10 | KGC loss: 13.540989, DiffHEG loss 186.912832:   3%|▎         | 11/400 [07:53<4:39:14, 43.07s/it]
Epoch 11 | KGC loss: 13.659111, DiffHEG loss 186.913951:   3%|▎         | 11/400 [08:36<4:39:14, 43.07s/it]
Epoch 11 | KGC loss: 13.659111, DiffHEG loss 186.913951:   3%|▎         | 12/400 [08:36<4:38:27, 43.06s/it]
Epoch 12 | KGC loss: 13.679156, DiffHEG loss 186.975325:   3%|▎         | 12/400 [09:20<4:38:27, 43.06s/it]
Epoch 12 | KGC loss: 13.679156, DiffHEG loss 186.975325:   3%|▎         | 13/400 [09:20<4:37:46, 43.06s/it]
Epoch 13 | KGC loss: 13.788480, DiffHEG loss 186.921114:   3%|▎         | 13/400 [10:03<4:37:46, 43.06s/it]
Epoch 13 | KGC loss: 13.788480, DiffHEG loss 186.921114:   4%|▎         | 14/400 [10:03<4:36:59, 43.06s/it]
Epoch 14 | KGC loss: 13.727375, DiffHEG loss 186.946219:   4%|▎         | 14/400 [10:46<4:36:59, 43.06s/it]
Epoch 14 | KGC loss: 13.727375, DiffHEG loss 186.946219:   4%|▍         | 15/400 [10:46<4:36:13, 43.05s/it]
Epoch 15 | KGC loss: 13.867654, DiffHEG loss 186.956460:   4%|▍         | 15/400 [11:29<4:36:13, 43.05s/it]
Epoch 15 | KGC loss: 13.867654, DiffHEG loss 186.956460:   4%|▍         | 16/400 [11:29<4:35:30, 43.05s/it]
Epoch 16 | KGC loss: 13.833323, DiffHEG loss 186.948139:   4%|▍         | 16/400 [12:12<4:35:30, 43.05s/it]
Epoch 16 | KGC loss: 13.833323, DiffHEG loss 186.948139:   4%|▍         | 17/400 [12:12<4:34:46, 43.05s/it]
Epoch 17 | KGC loss: 13.979325, DiffHEG loss 186.967041:   4%|▍         | 17/400 [12:55<4:34:46, 43.05s/it]
Epoch 17 | KGC loss: 13.979325, DiffHEG loss 186.967041:   4%|▍         | 18/400 [12:55<4:34:04, 43.05s/it]
Epoch 18 | KGC loss: 13.856545, DiffHEG loss 186.958574:   4%|▍         | 18/400 [13:38<4:34:04, 43.05s/it]
Epoch 18 | KGC loss: 13.856545, DiffHEG loss 186.958574:   5%|▍         | 19/400 [13:38<4:33:33, 43.08s/it]
Epoch 19 | KGC loss: 14.028761, DiffHEG loss 186.956903:   5%|▍         | 19/400 [14:21<4:33:33, 43.08s/it]
Epoch 19 | KGC loss: 14.028761, DiffHEG loss 186.956903:   5%|▌         | 20/400 [14:21<4:32:45, 43.07s/it]
Epoch 20 | KGC loss: 13.981090, DiffHEG loss 187.022888:   5%|▌         | 20/400 [15:04<4:32:45, 43.07s/it]
Epoch 20 | KGC loss: 13.981090, DiffHEG loss 187.022888:   5%|▌         | 21/400 [15:04<4:32:04, 43.07s/it]
Epoch 21 | KGC loss: 14.146181, DiffHEG loss 210.890190:   5%|▌         | 21/400 [15:47<4:32:04, 43.07s/it]
Epoch 21 | KGC loss: 14.146181, DiffHEG loss 210.890190:   6%|▌         | 22/400 [15:47<4:31:19, 43.07s/it]
Epoch 22 | KGC loss: 14.770655, DiffHEG loss 251.514183:   6%|▌         | 22/400 [16:30<4:31:19, 43.07s/it]
Epoch 22 | KGC loss: 14.770655, DiffHEG loss 251.514183:   6%|▌         | 23/400 [16:30<4:30:21, 43.03s/it]
Epoch 23 | KGC loss: 14.655565, DiffHEG loss 186.838815:   6%|▌         | 23/400 [17:13<4:30:21, 43.03s/it]
Epoch 23 | KGC loss: 14.655565, DiffHEG loss 186.838815:   6%|▌         | 24/400 [17:13<4:29:21, 42.98s/it]
Epoch 24 | KGC loss: 14.370310, DiffHEG loss 186.736228:   6%|▌         | 24/400 [17:56<4:29:21, 42.98s/it]
Epoch 24 | KGC loss: 14.370310, DiffHEG loss 186.736228:   6%|▋         | 25/400 [17:56<4:28:29, 42.96s/it]
Epoch 25 | KGC loss: 14.321928, DiffHEG loss 186.720633:   6%|▋         | 25/400 [18:39<4:28:29, 42.96s/it]
Epoch 25 | KGC loss: 14.321928, DiffHEG loss 186.720633:   6%|▋         | 26/400 [18:39<4:27:38, 42.94s/it]
Epoch 26 | KGC loss: 14.221374, DiffHEG loss 186.708835:   6%|▋         | 26/400 [19:22<4:27:38, 42.94s/it]
Epoch 26 | KGC loss: 14.221374, DiffHEG loss 186.708835:   7%|▋         | 27/400 [19:22<4:26:49, 42.92s/it]
Epoch 27 | KGC loss: 14.258204, DiffHEG loss 186.712721:   7%|▋         | 27/400 [20:04<4:26:49, 42.92s/it]
Epoch 27 | KGC loss: 14.258204, DiffHEG loss 186.712721:   7%|▋         | 28/400 [20:04<4:26:03, 42.91s/it]
Epoch 28 | KGC loss: 14.151551, DiffHEG loss 186.713103:   7%|▋         | 28/400 [20:47<4:26:03, 42.91s/it]
Epoch 28 | KGC loss: 14.151551, DiffHEG loss 186.713103:   7%|▋         | 29/400 [20:47<4:25:16, 42.90s/it]
Epoch 29 | KGC loss: 14.145095, DiffHEG loss 186.741108:   7%|▋         | 29/400 [21:30<4:25:16, 42.90s/it]
