train_dhns_rotate.py:857: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:858: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
Experiment config | model=AdvMixRotatE | dataset=DB15K | seed=0 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=legacy | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=False | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.1 | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Injected text missingness summary:
  requested_additional_missing_rate: 10.0000%
  applied_additional_missing_rate: 9.9984%
  available_text_before_injection: 12842
  additionally_masked_text_entities: 1284
Embedding missingness summary:
  num_entities: 12842
  missing_text_count: 1284 (9.9984%)
  missing_image_count: 0 (0.0000%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=39 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=legacy | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 523.815854, DiffHEG loss 268.545849:   0%|          | 0/400 [00:37<?, ?it/s]
Epoch 0 | KGC loss: 523.815854, DiffHEG loss 268.545849:   0%|          | 1/400 [00:37<4:12:29, 37.97s/it]
Epoch 1 | KGC loss: 25.645028, DiffHEG loss 187.841392:   0%|          | 1/400 [01:15<4:12:29, 37.97s/it] 
Epoch 1 | KGC loss: 25.645028, DiffHEG loss 187.841392:   0%|          | 2/400 [01:15<4:11:44, 37.95s/it]
Epoch 2 | KGC loss: 18.656770, DiffHEG loss 186.860391:   0%|          | 2/400 [01:53<4:11:44, 37.95s/it]
Epoch 2 | KGC loss: 18.656770, DiffHEG loss 186.860391:   1%|          | 3/400 [01:53<4:11:28, 38.01s/it]
Epoch 3 | KGC loss: 16.238337, DiffHEG loss 186.799427:   1%|          | 3/400 [02:32<4:11:28, 38.01s/it]
Epoch 3 | KGC loss: 16.238337, DiffHEG loss 186.799427:   1%|          | 4/400 [02:32<4:11:22, 38.09s/it]
Epoch 4 | KGC loss: 14.795549, DiffHEG loss 186.810585:   1%|          | 4/400 [03:10<4:11:22, 38.09s/it]
Epoch 4 | KGC loss: 14.795549, DiffHEG loss 186.810585:   1%|▏         | 5/400 [03:10<4:11:01, 38.13s/it]
Epoch 5 | KGC loss: 14.233018, DiffHEG loss 186.839290:   1%|▏         | 5/400 [03:48<4:11:01, 38.13s/it]
Epoch 5 | KGC loss: 14.233018, DiffHEG loss 186.839290:   2%|▏         | 6/400 [03:48<4:10:33, 38.16s/it]
Epoch 6 | KGC loss: 13.776658, DiffHEG loss 186.898071:   2%|▏         | 6/400 [04:26<4:10:33, 38.16s/it]
Epoch 6 | KGC loss: 13.776658, DiffHEG loss 186.898071:   2%|▏         | 7/400 [04:26<4:10:02, 38.17s/it]
Epoch 7 | KGC loss: 13.646957, DiffHEG loss 186.934361:   2%|▏         | 7/400 [05:05<4:10:02, 38.17s/it]
Epoch 7 | KGC loss: 13.646957, DiffHEG loss 186.934361:   2%|▏         | 8/400 [05:05<4:09:28, 38.18s/it]
Epoch 8 | KGC loss: 13.437803, DiffHEG loss 186.878995:   2%|▏         | 8/400 [05:43<4:09:28, 38.18s/it]
Epoch 8 | KGC loss: 13.437803, DiffHEG loss 186.878995:   2%|▏         | 9/400 [05:43<4:08:52, 38.19s/it]
Epoch 9 | KGC loss: 13.446151, DiffHEG loss 186.891867:   2%|▏         | 9/400 [06:21<4:08:52, 38.19s/it]
Epoch 9 | KGC loss: 13.446151, DiffHEG loss 186.891867:   2%|▎         | 10/400 [06:21<4:08:17, 38.20s/it]
Epoch 10 | KGC loss: 13.384655, DiffHEG loss 186.887232:   2%|▎         | 10/400 [06:59<4:08:17, 38.20s/it]
Epoch 10 | KGC loss: 13.384655, DiffHEG loss 186.887232:   3%|▎         | 11/400 [06:59<4:07:40, 38.20s/it]
Epoch 11 | KGC loss: 13.522715, DiffHEG loss 186.916296:   3%|▎         | 11/400 [07:37<4:07:40, 38.20s/it]
Epoch 11 | KGC loss: 13.522715, DiffHEG loss 186.916296:   3%|▎         | 12/400 [07:37<4:07:02, 38.20s/it]
Epoch 12 | KGC loss: 13.546011, DiffHEG loss 186.935407:   3%|▎         | 12/400 [08:16<4:07:02, 38.20s/it]
Epoch 12 | KGC loss: 13.546011, DiffHEG loss 186.935407:   3%|▎         | 13/400 [08:16<4:06:24, 38.20s/it]
Epoch 13 | KGC loss: 13.681166, DiffHEG loss 186.925916:   3%|▎         | 13/400 [08:54<4:06:24, 38.20s/it]
Epoch 13 | KGC loss: 13.681166, DiffHEG loss 186.925916:   4%|▎         | 14/400 [08:54<4:05:47, 38.21s/it]
Epoch 14 | KGC loss: 13.610281, DiffHEG loss 186.950478:   4%|▎         | 14/400 [09:32<4:05:47, 38.21s/it]
Epoch 14 | KGC loss: 13.610281, DiffHEG loss 186.950478:   4%|▍         | 15/400 [09:32<4:05:09, 38.21s/it]
Epoch 15 | KGC loss: 13.757458, DiffHEG loss 186.963607:   4%|▍         | 15/400 [10:10<4:05:09, 38.21s/it]
Epoch 15 | KGC loss: 13.757458, DiffHEG loss 186.963607:   4%|▍         | 16/400 [10:10<4:04:31, 38.21s/it]
Epoch 16 | KGC loss: 13.734382, DiffHEG loss 186.954816:   4%|▍         | 16/400 [10:48<4:04:31, 38.21s/it]
Epoch 16 | KGC loss: 13.734382, DiffHEG loss 186.954816:   4%|▍         | 17/400 [10:48<4:03:53, 38.21s/it]
Epoch 17 | KGC loss: 13.892838, DiffHEG loss 186.974310:   4%|▍         | 17/400 [11:27<4:03:53, 38.21s/it]
Epoch 17 | KGC loss: 13.892838, DiffHEG loss 186.974310:   4%|▍         | 18/400 [11:27<4:03:15, 38.21s/it]
Epoch 18 | KGC loss: 13.766312, DiffHEG loss 186.970513:   4%|▍         | 18/400 [12:05<4:03:15, 38.21s/it]
Epoch 18 | KGC loss: 13.766312, DiffHEG loss 186.970513:   5%|▍         | 19/400 [12:05<4:02:36, 38.21s/it]
Epoch 19 | KGC loss: 13.938736, DiffHEG loss 186.962128:   5%|▍         | 19/400 [12:43<4:02:36, 38.21s/it]
Epoch 19 | KGC loss: 13.938736, DiffHEG loss 186.962128:   5%|▌         | 20/400 [12:43<4:01:58, 38.21s/it]
Epoch 20 | KGC loss: 13.904217, DiffHEG loss 186.970905:   5%|▌         | 20/400 [13:21<4:01:58, 38.21s/it]
Epoch 20 | KGC loss: 13.904217, DiffHEG loss 186.970905:   5%|▌         | 21/400 [13:21<4:01:21, 38.21s/it]
Epoch 21 | KGC loss: 14.096355, DiffHEG loss 187.046897:   5%|▌         | 21/400 [13:59<4:01:21, 38.21s/it]
Epoch 21 | KGC loss: 14.096355, DiffHEG loss 187.046897:   6%|▌         | 22/400 [13:59<4:00:42, 38.21s/it]
Epoch 22 | KGC loss: 13.999623, DiffHEG loss 186.944365:   6%|▌         | 22/400 [14:38<4:00:42, 38.21s/it]
Epoch 22 | KGC loss: 13.999623, DiffHEG loss 186.944365:   6%|▌         | 23/400 [14:38<4:00:04, 38.21s/it]
Epoch 23 | KGC loss: 14.117697, DiffHEG loss 187.015468:   6%|▌         | 23/400 [15:16<4:00:04, 38.21s/it]
Epoch 23 | KGC loss: 14.117697, DiffHEG loss 187.015468:   6%|▌         | 24/400 [15:16<3:59:26, 38.21s/it]
Epoch 24 | KGC loss: 14.020009, DiffHEG loss 187.048298:   6%|▌         | 24/400 [15:54<3:59:26, 38.21s/it]
Epoch 24 | KGC loss: 14.020009, DiffHEG loss 187.048298:   6%|▋         | 25/400 [15:54<3:58:47, 38.21s/it]
Epoch 25 | KGC loss: 14.122018, DiffHEG loss 186.961982:   6%|▋         | 25/400 [16:32<3:58:47, 38.21s/it]
Epoch 25 | KGC loss: 14.122018, DiffHEG loss 186.961982:   6%|▋         | 26/400 [16:32<3:58:09, 38.21s/it]
Epoch 26 | KGC loss: 14.108682, DiffHEG loss 186.885431:   6%|▋         | 26/400 [17:10<3:58:09, 38.21s/it]
Epoch 26 | KGC loss: 14.108682, DiffHEG loss 186.885431:   7%|▋         | 27/400 [17:10<3:57:31, 38.21s/it]
Epoch 27 | KGC loss: 14.230374, DiffHEG loss 186.859306:   7%|▋         | 27/400 [17:49<3:57:31, 38.21s/it]
Epoch 27 | KGC loss: 14.230374, DiffHEG loss 186.859306:   7%|▋         | 28/400 [17:49<3:56:53, 38.21s/it]
Epoch 28 | KGC loss: 14.134077, DiffHEG loss 186.834613:   7%|▋         | 28/400 [18:27<3:56:53, 38.21s/it]
Epoch 28 | KGC loss: 14.134077, DiffHEG loss 186.834613:   7%|▋         | 29/400 [18:27<3:56:15, 38.21s/it]
Epoch 29 | KGC loss: 14.141333, DiffHEG loss 186.839779:   7%|▋         | 29/400 [19:05<3:56:15, 38.21s/it]
