train_dhns_rotate.py:857: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:858: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
Experiment config | model=AdvMixRotatE | dataset=MKG-W | seed=0 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.5 | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Injected text missingness summary:
  requested_additional_missing_rate: 50.0000%
  applied_additional_missing_rate: 49.9965%
  available_text_before_injection: 14149
  additionally_masked_text_entities: 7074
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 7925 (52.8333%)
  missing_image_count: 537 (3.5800%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=17 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 376.729810, DiffHEG loss 127.802918:   0%|          | 0/400 [00:15<?, ?it/s]
Epoch 0 | KGC loss: 376.729810, DiffHEG loss 127.802918:   0%|          | 1/400 [00:15<1:42:13, 15.37s/it]
Epoch 1 | KGC loss: 13.932231, DiffHEG loss 84.092020:   0%|          | 1/400 [00:30<1:42:13, 15.37s/it]  
Epoch 1 | KGC loss: 13.932231, DiffHEG loss 84.092020:   0%|          | 2/400 [00:30<1:40:50, 15.20s/it]
Epoch 2 | KGC loss: 8.799239, DiffHEG loss 81.833489:   0%|          | 2/400 [00:45<1:40:50, 15.20s/it] 
Epoch 2 | KGC loss: 8.799239, DiffHEG loss 81.833489:   1%|          | 3/400 [00:45<1:40:14, 15.15s/it]
Epoch 3 | KGC loss: 6.395733, DiffHEG loss 81.478014:   1%|          | 3/400 [01:00<1:40:14, 15.15s/it]
Epoch 3 | KGC loss: 6.395733, DiffHEG loss 81.478014:   1%|          | 4/400 [01:00<1:39:51, 15.13s/it]
Epoch 4 | KGC loss: 4.837046, DiffHEG loss 81.426876:   1%|          | 4/400 [01:15<1:39:51, 15.13s/it]
Epoch 4 | KGC loss: 4.837046, DiffHEG loss 81.426876:   1%|▏         | 5/400 [01:15<1:39:33, 15.12s/it]
Epoch 5 | KGC loss: 4.047781, DiffHEG loss 82.446331:   1%|▏         | 5/400 [01:30<1:39:33, 15.12s/it]
Epoch 5 | KGC loss: 4.047781, DiffHEG loss 82.446331:   2%|▏         | 6/400 [01:30<1:39:18, 15.12s/it]
Epoch 6 | KGC loss: 3.379723, DiffHEG loss 81.524567:   2%|▏         | 6/400 [01:45<1:39:18, 15.12s/it]
Epoch 6 | KGC loss: 3.379723, DiffHEG loss 81.524567:   2%|▏         | 7/400 [01:45<1:39:02, 15.12s/it]
Epoch 7 | KGC loss: 3.030559, DiffHEG loss 81.438585:   2%|▏         | 7/400 [02:01<1:39:02, 15.12s/it]
Epoch 7 | KGC loss: 3.030559, DiffHEG loss 81.438585:   2%|▏         | 8/400 [02:01<1:38:48, 15.12s/it]
Epoch 8 | KGC loss: 2.688046, DiffHEG loss 81.457369:   2%|▏         | 8/400 [02:16<1:38:48, 15.12s/it]
Epoch 8 | KGC loss: 2.688046, DiffHEG loss 81.457369:   2%|▏         | 9/400 [02:16<1:38:34, 15.13s/it]
Epoch 9 | KGC loss: 2.534412, DiffHEG loss 81.496570:   2%|▏         | 9/400 [02:31<1:38:34, 15.13s/it]
Epoch 9 | KGC loss: 2.534412, DiffHEG loss 81.496570:   2%|▎         | 10/400 [02:31<1:38:18, 15.12s/it]
Epoch 10 | KGC loss: 2.333225, DiffHEG loss 81.422994:   2%|▎         | 10/400 [02:46<1:38:18, 15.12s/it]
Epoch 10 | KGC loss: 2.333225, DiffHEG loss 81.422994:   3%|▎         | 11/400 [02:46<1:38:02, 15.12s/it]
Epoch 11 | KGC loss: 2.269978, DiffHEG loss 81.429292:   3%|▎         | 11/400 [03:01<1:38:02, 15.12s/it]
Epoch 11 | KGC loss: 2.269978, DiffHEG loss 81.429292:   3%|▎         | 12/400 [03:01<1:37:46, 15.12s/it]
Epoch 12 | KGC loss: 2.115887, DiffHEG loss 81.449690:   3%|▎         | 12/400 [03:16<1:37:46, 15.12s/it]
Epoch 12 | KGC loss: 2.115887, DiffHEG loss 81.449690:   3%|▎         | 13/400 [03:16<1:37:30, 15.12s/it]
Epoch 13 | KGC loss: 2.100086, DiffHEG loss 81.451439:   3%|▎         | 13/400 [03:31<1:37:30, 15.12s/it]
Epoch 13 | KGC loss: 2.100086, DiffHEG loss 81.451439:   4%|▎         | 14/400 [03:31<1:37:15, 15.12s/it]
Epoch 14 | KGC loss: 1.992741, DiffHEG loss 81.454144:   4%|▎         | 14/400 [03:46<1:37:15, 15.12s/it]
Epoch 14 | KGC loss: 1.992741, DiffHEG loss 81.454144:   4%|▍         | 15/400 [03:46<1:36:59, 15.12s/it]
Epoch 15 | KGC loss: 2.008742, DiffHEG loss 81.447391:   4%|▍         | 15/400 [04:02<1:36:59, 15.12s/it]
Epoch 15 | KGC loss: 2.008742, DiffHEG loss 81.447391:   4%|▍         | 16/400 [04:02<1:36:45, 15.12s/it]
Epoch 16 | KGC loss: 1.907356, DiffHEG loss 81.437397:   4%|▍         | 16/400 [04:17<1:36:45, 15.12s/it]
Epoch 16 | KGC loss: 1.907356, DiffHEG loss 81.437397:   4%|▍         | 17/400 [04:17<1:36:30, 15.12s/it]
Epoch 17 | KGC loss: 1.943473, DiffHEG loss 81.449039:   4%|▍         | 17/400 [04:32<1:36:30, 15.12s/it]
Epoch 17 | KGC loss: 1.943473, DiffHEG loss 81.449039:   4%|▍         | 18/400 [04:32<1:36:14, 15.12s/it]
Epoch 18 | KGC loss: 1.858662, DiffHEG loss 81.477441:   4%|▍         | 18/400 [04:47<1:36:14, 15.12s/it]
Epoch 18 | KGC loss: 1.858662, DiffHEG loss 81.477441:   5%|▍         | 19/400 [04:47<1:36:01, 15.12s/it]
Epoch 19 | KGC loss: 1.876341, DiffHEG loss 81.435918:   5%|▍         | 19/400 [05:02<1:36:01, 15.12s/it]
Epoch 19 | KGC loss: 1.876341, DiffHEG loss 81.435918:   5%|▌         | 20/400 [05:02<1:35:48, 15.13s/it]
Epoch 20 | KGC loss: 1.812637, DiffHEG loss 81.446401:   5%|▌         | 20/400 [05:17<1:35:48, 15.13s/it]
Epoch 20 | KGC loss: 1.812637, DiffHEG loss 81.446401:   5%|▌         | 21/400 [05:17<1:35:31, 15.12s/it]
Epoch 21 | KGC loss: 1.840641, DiffHEG loss 81.443974:   5%|▌         | 21/400 [05:32<1:35:31, 15.12s/it]
Epoch 21 | KGC loss: 1.840641, DiffHEG loss 81.443974:   6%|▌         | 22/400 [05:32<1:35:18, 15.13s/it]
Epoch 22 | KGC loss: 1.788725, DiffHEG loss 81.440495:   6%|▌         | 22/400 [05:47<1:35:18, 15.13s/it]
Epoch 22 | KGC loss: 1.788725, DiffHEG loss 81.440495:   6%|▌         | 23/400 [05:47<1:35:01, 15.12s/it]
Epoch 23 | KGC loss: 1.824618, DiffHEG loss 81.453948:   6%|▌         | 23/400 [06:03<1:35:01, 15.12s/it]
Epoch 23 | KGC loss: 1.824618, DiffHEG loss 81.453948:   6%|▌         | 24/400 [06:03<1:34:47, 15.13s/it]
Epoch 24 | KGC loss: 1.762550, DiffHEG loss 81.447670:   6%|▌         | 24/400 [06:18<1:34:47, 15.13s/it]
Epoch 24 | KGC loss: 1.762550, DiffHEG loss 81.447670:   6%|▋         | 25/400 [06:18<1:34:30, 15.12s/it]
Epoch 25 | KGC loss: 1.805680, DiffHEG loss 81.448108:   6%|▋         | 25/400 [06:33<1:34:30, 15.12s/it]
Epoch 25 | KGC loss: 1.805680, DiffHEG loss 81.448108:   6%|▋         | 26/400 [06:33<1:34:14, 15.12s/it]
Epoch 26 | KGC loss: 1.764322, DiffHEG loss 81.446191:   6%|▋         | 26/400 [06:48<1:34:14, 15.12s/it]
Epoch 26 | KGC loss: 1.764322, DiffHEG loss 81.446191:   7%|▋         | 27/400 [06:48<1:33:58, 15.12s/it]
Epoch 27 | KGC loss: 1.802508, DiffHEG loss 81.444005:   7%|▋         | 27/400 [07:03<1:33:58, 15.12s/it]
Epoch 27 | KGC loss: 1.802508, DiffHEG loss 81.444005:   7%|▋         | 28/400 [07:03<1:33:44, 15.12s/it]
Epoch 28 | KGC loss: 1.740706, DiffHEG loss 81.450815:   7%|▋         | 28/400 [07:18<1:33:44, 15.12s/it]
Epoch 28 | KGC loss: 1.740706, DiffHEG loss 81.450815:   7%|▋         | 29/400 [07:18<1:33:29, 15.12s/it]
Epoch 29 | KGC loss: 1.777811, DiffHEG loss 81.443729:   7%|▋         | 29/400 [07:33<1:33:29, 15.12s/it]
