train_dhns_rotate.py:857: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:858: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
Experiment config | model=AdvMixRotatE | dataset=DB15K | seed=2 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=legacy | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=False | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.0 | simulate_native_text_missing_rate=0.3 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Simulated native text missingness summary:
  requested_native_missing_rate: 30.0000%
  applied_native_missing_rate: 30.0031%
  available_text_before_simulation: 12842
  simulated_native_missing_text_entities: 3853
Embedding missingness summary:
  num_entities: 12842
  missing_text_count: 3853 (30.0031%)
  missing_image_count: 0 (0.0000%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=39 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=legacy | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 409.065457, DiffHEG loss 255.085032:   0%|          | 0/400 [00:38<?, ?it/s]
Epoch 0 | KGC loss: 409.065457, DiffHEG loss 255.085032:   0%|          | 1/400 [00:38<4:13:09, 38.07s/it]
Epoch 1 | KGC loss: 30.716665, DiffHEG loss 187.182107:   0%|          | 1/400 [01:16<4:13:09, 38.07s/it] 
Epoch 1 | KGC loss: 30.716665, DiffHEG loss 187.182107:   0%|          | 2/400 [01:16<4:12:47, 38.11s/it]
Epoch 2 | KGC loss: 20.275582, DiffHEG loss 186.763985:   0%|          | 2/400 [01:54<4:12:47, 38.11s/it]
Epoch 2 | KGC loss: 20.275582, DiffHEG loss 186.763985:   1%|          | 3/400 [01:54<4:12:29, 38.16s/it]
Epoch 3 | KGC loss: 16.578910, DiffHEG loss 186.777845:   1%|          | 3/400 [02:32<4:12:29, 38.16s/it]
Epoch 3 | KGC loss: 16.578910, DiffHEG loss 186.777845:   1%|          | 4/400 [02:32<4:11:57, 38.18s/it]
Epoch 4 | KGC loss: 14.705273, DiffHEG loss 186.791596:   1%|          | 4/400 [03:10<4:11:57, 38.18s/it]
Epoch 4 | KGC loss: 14.705273, DiffHEG loss 186.791596:   1%|▏         | 5/400 [03:10<4:11:23, 38.19s/it]
Epoch 5 | KGC loss: 13.951527, DiffHEG loss 186.801954:   1%|▏         | 5/400 [03:49<4:11:23, 38.19s/it]
Epoch 5 | KGC loss: 13.951527, DiffHEG loss 186.801954:   2%|▏         | 6/400 [03:49<4:10:48, 38.20s/it]
Epoch 6 | KGC loss: 13.322600, DiffHEG loss 186.823116:   2%|▏         | 6/400 [04:27<4:10:48, 38.20s/it]
Epoch 6 | KGC loss: 13.322600, DiffHEG loss 186.823116:   2%|▏         | 7/400 [04:27<4:10:12, 38.20s/it]
Epoch 7 | KGC loss: 13.202162, DiffHEG loss 186.822738:   2%|▏         | 7/400 [05:05<4:10:12, 38.20s/it]
Epoch 7 | KGC loss: 13.202162, DiffHEG loss 186.822738:   2%|▏         | 8/400 [05:05<4:09:34, 38.20s/it]
Epoch 8 | KGC loss: 12.983858, DiffHEG loss 186.828839:   2%|▏         | 8/400 [05:43<4:09:34, 38.20s/it]
Epoch 8 | KGC loss: 12.983858, DiffHEG loss 186.828839:   2%|▏         | 9/400 [05:43<4:08:56, 38.20s/it]
Epoch 9 | KGC loss: 13.009231, DiffHEG loss 186.848606:   2%|▏         | 9/400 [06:21<4:08:56, 38.20s/it]
Epoch 9 | KGC loss: 13.009231, DiffHEG loss 186.848606:   2%|▎         | 10/400 [06:21<4:08:20, 38.21s/it]
Epoch 10 | KGC loss: 12.980037, DiffHEG loss 186.862647:   2%|▎         | 10/400 [07:00<4:08:20, 38.21s/it]
Epoch 10 | KGC loss: 12.980037, DiffHEG loss 186.862647:   3%|▎         | 11/400 [07:00<4:07:42, 38.21s/it]
Epoch 11 | KGC loss: 13.155225, DiffHEG loss 186.891584:   3%|▎         | 11/400 [07:38<4:07:42, 38.21s/it]
Epoch 11 | KGC loss: 13.155225, DiffHEG loss 186.891584:   3%|▎         | 12/400 [07:38<4:07:03, 38.21s/it]
Epoch 12 | KGC loss: 13.193952, DiffHEG loss 186.877710:   3%|▎         | 12/400 [08:16<4:07:03, 38.21s/it]
Epoch 12 | KGC loss: 13.193952, DiffHEG loss 186.877710:   3%|▎         | 13/400 [08:16<4:06:26, 38.21s/it]
Epoch 13 | KGC loss: 13.412014, DiffHEG loss 186.914027:   3%|▎         | 13/400 [08:54<4:06:26, 38.21s/it]
Epoch 13 | KGC loss: 13.412014, DiffHEG loss 186.914027:   4%|▎         | 14/400 [08:54<4:05:48, 38.21s/it]
Epoch 14 | KGC loss: 13.357668, DiffHEG loss 186.909391:   4%|▎         | 14/400 [09:32<4:05:48, 38.21s/it]
Epoch 14 | KGC loss: 13.357668, DiffHEG loss 186.909391:   4%|▍         | 15/400 [09:32<4:05:10, 38.21s/it]
Epoch 15 | KGC loss: 13.551656, DiffHEG loss 186.908336:   4%|▍         | 15/400 [10:11<4:05:10, 38.21s/it]
Epoch 15 | KGC loss: 13.551656, DiffHEG loss 186.908336:   4%|▍         | 16/400 [10:11<4:04:31, 38.21s/it]
Epoch 16 | KGC loss: 13.555994, DiffHEG loss 186.934878:   4%|▍         | 16/400 [10:49<4:04:31, 38.21s/it]
Epoch 16 | KGC loss: 13.555994, DiffHEG loss 186.934878:   4%|▍         | 17/400 [10:49<4:03:54, 38.21s/it]
Epoch 17 | KGC loss: 13.722462, DiffHEG loss 186.918774:   4%|▍         | 17/400 [11:27<4:03:54, 38.21s/it]
Epoch 17 | KGC loss: 13.722462, DiffHEG loss 186.918774:   4%|▍         | 18/400 [11:27<4:03:15, 38.21s/it]
Epoch 18 | KGC loss: 13.597083, DiffHEG loss 186.911143:   4%|▍         | 18/400 [12:05<4:03:15, 38.21s/it]
Epoch 18 | KGC loss: 13.597083, DiffHEG loss 186.911143:   5%|▍         | 19/400 [12:05<4:02:37, 38.21s/it]
Epoch 19 | KGC loss: 13.773500, DiffHEG loss 186.909373:   5%|▍         | 19/400 [12:43<4:02:37, 38.21s/it]
Epoch 19 | KGC loss: 13.773500, DiffHEG loss 186.909373:   5%|▌         | 20/400 [12:43<4:01:59, 38.21s/it]
Epoch 20 | KGC loss: 13.781688, DiffHEG loss 186.903171:   5%|▌         | 20/400 [13:22<4:01:59, 38.21s/it]
Epoch 20 | KGC loss: 13.781688, DiffHEG loss 186.903171:   5%|▌         | 21/400 [13:22<4:01:21, 38.21s/it]
Epoch 21 | KGC loss: 13.924956, DiffHEG loss 186.902649:   5%|▌         | 21/400 [14:00<4:01:21, 38.21s/it]
Epoch 21 | KGC loss: 13.924956, DiffHEG loss 186.902649:   6%|▌         | 22/400 [14:00<4:00:42, 38.21s/it]
Epoch 22 | KGC loss: 13.787369, DiffHEG loss 186.930888:   6%|▌         | 22/400 [14:38<4:00:42, 38.21s/it]
Epoch 22 | KGC loss: 13.787369, DiffHEG loss 186.930888:   6%|▌         | 23/400 [14:38<4:00:05, 38.21s/it]
Epoch 23 | KGC loss: 13.994668, DiffHEG loss 186.870574:   6%|▌         | 23/400 [15:16<4:00:05, 38.21s/it]
Epoch 23 | KGC loss: 13.994668, DiffHEG loss 186.870574:   6%|▌         | 24/400 [15:16<3:59:26, 38.21s/it]
Epoch 24 | KGC loss: 13.853109, DiffHEG loss 186.889360:   6%|▌         | 24/400 [15:54<3:59:26, 38.21s/it]
Epoch 24 | KGC loss: 13.853109, DiffHEG loss 186.889360:   6%|▋         | 25/400 [15:55<3:58:48, 38.21s/it]
Epoch 25 | KGC loss: 13.948708, DiffHEG loss 186.846734:   6%|▋         | 25/400 [16:33<3:58:48, 38.21s/it]
Epoch 25 | KGC loss: 13.948708, DiffHEG loss 186.846734:   6%|▋         | 26/400 [16:33<3:58:09, 38.21s/it]
Epoch 26 | KGC loss: 13.898066, DiffHEG loss 186.822036:   6%|▋         | 26/400 [17:11<3:58:09, 38.21s/it]
Epoch 26 | KGC loss: 13.898066, DiffHEG loss 186.822036:   7%|▋         | 27/400 [17:11<3:57:31, 38.21s/it]
Epoch 27 | KGC loss: 13.973093, DiffHEG loss 186.794577:   7%|▋         | 27/400 [17:49<3:57:31, 38.21s/it]
Epoch 27 | KGC loss: 13.973093, DiffHEG loss 186.794577:   7%|▋         | 28/400 [17:49<3:56:53, 38.21s/it]
Epoch 28 | KGC loss: 13.882747, DiffHEG loss 186.791522:   7%|▋         | 28/400 [18:27<3:56:53, 38.21s/it]
Epoch 28 | KGC loss: 13.882747, DiffHEG loss 186.791522:   7%|▋         | 29/400 [18:27<3:56:15, 38.21s/it]
Epoch 29 | KGC loss: 13.970412, DiffHEG loss 186.833481:   7%|▋         | 29/400 [19:06<3:56:15, 38.21s/it]
