train_dhns_rotate.py:857: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:858: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
Experiment config | model=AdvMixRotatE | dataset=DB15K | seed=0 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.0 | simulate_native_text_missing_rate=0.3 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Simulated native text missingness summary:
  requested_native_missing_rate: 30.0000%
  applied_native_missing_rate: 30.0031%
  available_text_before_simulation: 12842
  simulated_native_missing_text_entities: 3853
Embedding missingness summary:
  num_entities: 12842
  missing_text_count: 3853 (30.0031%)
  missing_image_count: 0 (0.0000%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=39 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 437.857344, DiffHEG loss 266.487049:   0%|          | 0/400 [00:38<?, ?it/s]
Epoch 0 | KGC loss: 437.857344, DiffHEG loss 266.487049:   0%|          | 1/400 [00:38<4:15:45, 38.46s/it]
Epoch 1 | KGC loss: 22.393671, DiffHEG loss 187.148604:   0%|          | 1/400 [01:16<4:15:45, 38.46s/it] 
Epoch 1 | KGC loss: 22.393671, DiffHEG loss 187.148604:   0%|          | 2/400 [01:16<4:14:10, 38.32s/it]
Epoch 2 | KGC loss: 16.853099, DiffHEG loss 186.791670:   0%|          | 2/400 [01:54<4:14:10, 38.32s/it]
Epoch 2 | KGC loss: 16.853099, DiffHEG loss 186.791670:   1%|          | 3/400 [01:54<4:13:14, 38.27s/it]
Epoch 3 | KGC loss: 14.763281, DiffHEG loss 187.143895:   1%|          | 3/400 [02:33<4:13:14, 38.27s/it]
Epoch 3 | KGC loss: 14.763281, DiffHEG loss 187.143895:   1%|          | 4/400 [02:33<4:12:38, 38.28s/it]
Epoch 4 | KGC loss: 13.529017, DiffHEG loss 186.925306:   1%|          | 4/400 [03:11<4:12:38, 38.28s/it]
Epoch 4 | KGC loss: 13.529017, DiffHEG loss 186.925306:   1%|▏         | 5/400 [03:11<4:12:06, 38.29s/it]
Epoch 5 | KGC loss: 12.974887, DiffHEG loss 186.820526:   1%|▏         | 5/400 [03:49<4:12:06, 38.29s/it]
Epoch 5 | KGC loss: 12.974887, DiffHEG loss 186.820526:   2%|▏         | 6/400 [03:49<4:11:41, 38.33s/it]
Epoch 6 | KGC loss: 12.557679, DiffHEG loss 186.860551:   2%|▏         | 6/400 [04:28<4:11:41, 38.33s/it]
Epoch 6 | KGC loss: 12.557679, DiffHEG loss 186.860551:   2%|▏         | 7/400 [04:28<4:11:10, 38.35s/it]
Epoch 7 | KGC loss: 12.442847, DiffHEG loss 186.884073:   2%|▏         | 7/400 [05:06<4:11:10, 38.35s/it]
Epoch 7 | KGC loss: 12.442847, DiffHEG loss 186.884073:   2%|▏         | 8/400 [05:06<4:10:34, 38.35s/it]
Epoch 8 | KGC loss: 12.204958, DiffHEG loss 186.898649:   2%|▏         | 8/400 [05:45<4:10:34, 38.35s/it]
Epoch 8 | KGC loss: 12.204958, DiffHEG loss 186.898649:   2%|▏         | 9/400 [05:45<4:10:06, 38.38s/it]
Epoch 9 | KGC loss: 12.191091, DiffHEG loss 186.896943:   2%|▏         | 9/400 [06:23<4:10:06, 38.38s/it]
Epoch 9 | KGC loss: 12.191091, DiffHEG loss 186.896943:   2%|▎         | 10/400 [06:23<4:09:30, 38.39s/it]
Epoch 10 | KGC loss: 12.119710, DiffHEG loss 186.887069:   2%|▎         | 10/400 [07:01<4:09:30, 38.39s/it]
Epoch 10 | KGC loss: 12.119710, DiffHEG loss 186.887069:   3%|▎         | 11/400 [07:01<4:09:01, 38.41s/it]
Epoch 11 | KGC loss: 12.211482, DiffHEG loss 186.910687:   3%|▎         | 11/400 [07:40<4:09:01, 38.41s/it]
Epoch 11 | KGC loss: 12.211482, DiffHEG loss 186.910687:   3%|▎         | 12/400 [07:40<4:08:21, 38.41s/it]
Epoch 12 | KGC loss: 12.172157, DiffHEG loss 186.949711:   3%|▎         | 12/400 [08:18<4:08:21, 38.41s/it]
Epoch 12 | KGC loss: 12.172157, DiffHEG loss 186.949711:   3%|▎         | 13/400 [08:18<4:07:42, 38.41s/it]
Epoch 13 | KGC loss: 12.261148, DiffHEG loss 186.923088:   3%|▎         | 13/400 [08:57<4:07:42, 38.41s/it]
Epoch 13 | KGC loss: 12.261148, DiffHEG loss 186.923088:   4%|▎         | 14/400 [08:57<4:07:08, 38.42s/it]
Epoch 14 | KGC loss: 12.174094, DiffHEG loss 186.964149:   4%|▎         | 14/400 [09:35<4:07:08, 38.42s/it]
Epoch 14 | KGC loss: 12.174094, DiffHEG loss 186.964149:   4%|▍         | 15/400 [09:35<4:06:32, 38.42s/it]
Epoch 15 | KGC loss: 12.283809, DiffHEG loss 186.959798:   4%|▍         | 15/400 [10:14<4:06:32, 38.42s/it]
Epoch 15 | KGC loss: 12.283809, DiffHEG loss 186.959798:   4%|▍         | 16/400 [10:14<4:05:54, 38.42s/it]
Epoch 16 | KGC loss: 12.240256, DiffHEG loss 186.947459:   4%|▍         | 16/400 [10:52<4:05:54, 38.42s/it]
Epoch 16 | KGC loss: 12.240256, DiffHEG loss 186.947459:   4%|▍         | 17/400 [10:52<4:05:16, 38.42s/it]
Epoch 17 | KGC loss: 12.307956, DiffHEG loss 186.964732:   4%|▍         | 17/400 [11:30<4:05:16, 38.42s/it]
Epoch 17 | KGC loss: 12.307956, DiffHEG loss 186.964732:   4%|▍         | 18/400 [11:30<4:04:36, 38.42s/it]
Epoch 18 | KGC loss: 12.187112, DiffHEG loss 186.956135:   4%|▍         | 18/400 [12:09<4:04:36, 38.42s/it]
Epoch 18 | KGC loss: 12.187112, DiffHEG loss 186.956135:   5%|▍         | 19/400 [12:09<4:03:58, 38.42s/it]
Epoch 19 | KGC loss: 12.318122, DiffHEG loss 186.935236:   5%|▍         | 19/400 [12:47<4:03:58, 38.42s/it]
Epoch 19 | KGC loss: 12.318122, DiffHEG loss 186.935236:   5%|▌         | 20/400 [12:47<4:03:24, 38.43s/it]
Epoch 20 | KGC loss: 12.297535, DiffHEG loss 186.924070:   5%|▌         | 20/400 [13:26<4:03:24, 38.43s/it]
Epoch 20 | KGC loss: 12.297535, DiffHEG loss 186.924070:   5%|▌         | 21/400 [13:26<4:02:45, 38.43s/it]
Epoch 21 | KGC loss: 12.418610, DiffHEG loss 186.947586:   5%|▌         | 21/400 [14:04<4:02:45, 38.43s/it]
Epoch 21 | KGC loss: 12.418610, DiffHEG loss 186.947586:   6%|▌         | 22/400 [14:04<4:02:10, 38.44s/it]
Epoch 22 | KGC loss: 12.307946, DiffHEG loss 186.925438:   6%|▌         | 22/400 [14:43<4:02:10, 38.44s/it]
Epoch 22 | KGC loss: 12.307946, DiffHEG loss 186.925438:   6%|▌         | 23/400 [14:43<4:01:37, 38.45s/it]
Epoch 23 | KGC loss: 12.426625, DiffHEG loss 186.870792:   6%|▌         | 23/400 [15:21<4:01:37, 38.45s/it]
Epoch 23 | KGC loss: 12.426625, DiffHEG loss 186.870792:   6%|▌         | 24/400 [15:21<4:00:58, 38.45s/it]
Epoch 24 | KGC loss: 12.326089, DiffHEG loss 186.874834:   6%|▌         | 24/400 [16:00<4:00:58, 38.45s/it]
Epoch 24 | KGC loss: 12.326089, DiffHEG loss 186.874834:   6%|▋         | 25/400 [16:00<4:00:24, 38.46s/it]
Epoch 25 | KGC loss: 12.394790, DiffHEG loss 186.815442:   6%|▋         | 25/400 [16:38<4:00:24, 38.46s/it]
Epoch 25 | KGC loss: 12.394790, DiffHEG loss 186.815442:   6%|▋         | 26/400 [16:38<3:59:43, 38.46s/it]
Epoch 26 | KGC loss: 12.813691, DiffHEG loss 212.644660:   6%|▋         | 26/400 [17:16<3:59:43, 38.46s/it]
Epoch 26 | KGC loss: 12.813691, DiffHEG loss 212.644660:   7%|▋         | 27/400 [17:16<3:58:56, 38.44s/it]
Epoch 27 | KGC loss: 13.069393, DiffHEG loss 188.023443:   7%|▋         | 27/400 [17:55<3:58:56, 38.44s/it]
Epoch 27 | KGC loss: 13.069393, DiffHEG loss 188.023443:   7%|▋         | 28/400 [17:55<3:57:51, 38.37s/it]
Epoch 28 | KGC loss: 12.649767, DiffHEG loss 186.725857:   7%|▋         | 28/400 [18:33<3:57:51, 38.37s/it]
Epoch 28 | KGC loss: 12.649767, DiffHEG loss 186.725857:   7%|▋         | 29/400 [18:33<3:56:55, 38.32s/it]
Epoch 29 | KGC loss: 12.543201, DiffHEG loss 186.737387:   7%|▋         | 29/400 [19:11<3:56:55, 38.32s/it]
