log,kind,seed,mrr,hit1,hit3,hit10,missing_text_mrr,train_wall_time_sec,eval_wall_time_sec,gpu_max_allocated_mb,checkpoint_size_mb,mask_strategy,mask_path,retrieval_source,accepted_groups,fallback_groups,safe_delta,min_group_queries
AB_random_seed0.log,train_eval,0,0.36836254596710205,0.32069092988967896,0.3963574767112732,0.44592565298080444,0.2851446783763446,8249.538743775338,74.80614792834967,10214.71337890625,147.56469249725342,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed0.pt,random_text_pool,,,,
AB_random_seed1.log,train_eval,1,0.3691718578338623,0.3221930265426636,0.39504319429397583,0.4461134076118469,0.28781657109808906,8246.965111996047,73.77072036545724,10214.71337890625,147.56469249725342,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed1.pt,random_text_pool,,,,
AB_random_seed2.log,train_eval,2,0.3694685697555542,0.3221930265426636,0.396920770406723,0.44498685002326965,0.2835756198320352,8287.096522293985,75.58246296364814,10214.71337890625,147.56469249725342,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed2.pt,random_text_pool,,,,
AB_seed0.log,train_eval,0,0.3690057694911957,0.3218175172805786,0.39579421281814575,0.44423580169677734,0.2844090685504768,8229.886878693476,70.91739603877068,10182.97265625,147.56444549560547,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed0.pt,entity_embedding_knn,,,,
AB_seed1.log,train_eval,1,0.36839908361434937,0.3218175172805786,0.39485543966293335,0.4427337646484375,0.28622735136603583,8217.55803017784,71.56803325004876,10182.97265625,147.56444549560547,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed1.pt,entity_embedding_knn,,,,
AB_seed2.log,train_eval,2,0.37007129192352295,0.3248216211795807,0.39485543966293335,0.44404804706573486,0.28444437344179957,8238.170732188039,71.35793816298246,10182.97265625,147.56444549560547,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed2.pt,entity_embedding_knn,,,,
A_seed0.log,train_eval,0,0.36918842792510986,0.32162973284721375,0.396920770406723,0.4463011622428894,0.28487364523174113,7660.677906698547,31.54693330358714,9206.138671875,147.56441020965576,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed0.pt,entity_embedding_knn,,,,
A_seed1.log,train_eval,1,0.3704456090927124,0.3238828182220459,0.3965452313423157,0.44573789834976196,0.2872268290893212,7681.782366462052,31.5184828042984,9206.138671875,147.56441020965576,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed1.pt,entity_embedding_knn,,,,
A_seed2.log,train_eval,2,0.36884164810180664,0.3208787143230438,0.3963574767112732,0.44667667150497437,0.28169257930763025,7682.942812924273,31.84123582392931,9206.138671875,147.56441020965576,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed2.pt,entity_embedding_knn,,,,
hpsac_seed0.log,HPSAC,0,0.28872972288874016,0.22906496432594817,0.3199399173864063,0.39372887720615846,0.11751053952179069,,710.1821986027062,,,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed0.pt,entity_embedding_knn,32,62,0.0002,30
hpsac_seed1.log,HPSAC,1,0.30151657007004107,0.23732632369508075,0.33871573413443484,0.4083740142696207,0.14790541829657936,,721.7606452377513,,,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed1.pt,entity_embedding_knn,36,60,0.0002,30
hpsac_seed2.log,HPSAC,2,0.29739508574432366,0.23807735636500188,0.32970334209538116,0.3986105895606459,0.13152834370400412,,715.7860771054402,,,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed2.pt,entity_embedding_knn,32,64,0.0002,30
retrieval_quality_seed0.log,train_eval,0,,,,,,,,,,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed0.pt,both,,,,
retrieval_quality_seed1.log,train_eval,1,,,,,,,,,,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed1.pt,both,,,,
retrieval_quality_seed2.log,train_eval,2,,,,,,,,,,low_degree,/root/autodl-tmp/DHNS-main/masks/MKG-Y_low_degree_text10_seed2.pt,both,,,,
