train_dhns_rotate.py:788: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:789: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
Experiment config | model=AdvMixRotatE | dataset=MKG-W | seed=1 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=True | retrieval_topk=1 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=0.25 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 851 (5.6733%)
  missing_image_count: 537 (3.5800%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=17 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 408.088231, DiffHEG loss 127.517020:   0%|          | 0/400 [00:15<?, ?it/s]
Epoch 0 | KGC loss: 408.088231, DiffHEG loss 127.517020:   0%|          | 1/400 [00:15<1:45:21, 15.84s/it]
Epoch 1 | KGC loss: 13.776548, DiffHEG loss 84.748643:   0%|          | 1/400 [00:31<1:45:21, 15.84s/it]  
Epoch 1 | KGC loss: 13.776548, DiffHEG loss 84.748643:   0%|          | 2/400 [00:31<1:43:45, 15.64s/it]
Epoch 2 | KGC loss: 7.844150, DiffHEG loss 81.823720:   0%|          | 2/400 [00:46<1:43:45, 15.64s/it] 
Epoch 2 | KGC loss: 7.844150, DiffHEG loss 81.823720:   1%|          | 3/400 [00:46<1:43:12, 15.60s/it]
Epoch 3 | KGC loss: 5.418418, DiffHEG loss 81.467885:   1%|          | 3/400 [01:02<1:43:12, 15.60s/it]
Epoch 3 | KGC loss: 5.418418, DiffHEG loss 81.467885:   1%|          | 4/400 [01:02<1:42:51, 15.59s/it]
Epoch 4 | KGC loss: 4.060774, DiffHEG loss 81.413720:   1%|          | 4/400 [01:18<1:42:51, 15.59s/it]
Epoch 4 | KGC loss: 4.060774, DiffHEG loss 81.413720:   1%|▏         | 5/400 [01:18<1:42:40, 15.60s/it]
Epoch 5 | KGC loss: 3.465556, DiffHEG loss 81.401978:   1%|▏         | 5/400 [01:33<1:42:40, 15.60s/it]
Epoch 5 | KGC loss: 3.465556, DiffHEG loss 81.401978:   2%|▏         | 6/400 [01:33<1:42:26, 15.60s/it]
Epoch 6 | KGC loss: 2.955288, DiffHEG loss 81.486986:   2%|▏         | 6/400 [01:49<1:42:26, 15.60s/it]
Epoch 6 | KGC loss: 2.955288, DiffHEG loss 81.486986:   2%|▏         | 7/400 [01:49<1:42:12, 15.60s/it]
Epoch 7 | KGC loss: 2.728743, DiffHEG loss 81.526909:   2%|▏         | 7/400 [02:04<1:42:12, 15.60s/it]
Epoch 7 | KGC loss: 2.728743, DiffHEG loss 81.526909:   2%|▏         | 8/400 [02:04<1:42:02, 15.62s/it]
Epoch 8 | KGC loss: 2.477768, DiffHEG loss 81.415719:   2%|▏         | 8/400 [02:20<1:42:02, 15.62s/it]
Epoch 8 | KGC loss: 2.477768, DiffHEG loss 81.415719:   2%|▏         | 9/400 [02:20<1:41:48, 15.62s/it]
Epoch 9 | KGC loss: 2.389718, DiffHEG loss 81.747292:   2%|▏         | 9/400 [02:36<1:41:48, 15.62s/it]
Epoch 9 | KGC loss: 2.389718, DiffHEG loss 81.747292:   2%|▎         | 10/400 [02:36<1:41:35, 15.63s/it]
Epoch 10 | KGC loss: 2.237687, DiffHEG loss 81.445068:   2%|▎         | 10/400 [02:51<1:41:35, 15.63s/it]
Epoch 10 | KGC loss: 2.237687, DiffHEG loss 81.445068:   3%|▎         | 11/400 [02:51<1:41:20, 15.63s/it]
Epoch 11 | KGC loss: 2.213546, DiffHEG loss 81.411750:   3%|▎         | 11/400 [03:07<1:41:20, 15.63s/it]
Epoch 11 | KGC loss: 2.213546, DiffHEG loss 81.411750:   3%|▎         | 12/400 [03:07<1:41:06, 15.64s/it]
Epoch 12 | KGC loss: 2.089791, DiffHEG loss 81.412210:   3%|▎         | 12/400 [03:23<1:41:06, 15.64s/it]
Epoch 12 | KGC loss: 2.089791, DiffHEG loss 81.412210:   3%|▎         | 13/400 [03:23<1:40:53, 15.64s/it]
Epoch 13 | KGC loss: 2.103459, DiffHEG loss 81.402225:   3%|▎         | 13/400 [03:38<1:40:53, 15.64s/it]
Epoch 13 | KGC loss: 2.103459, DiffHEG loss 81.402225:   4%|▎         | 14/400 [03:38<1:40:42, 15.65s/it]
Epoch 14 | KGC loss: 2.009003, DiffHEG loss 81.421780:   4%|▎         | 14/400 [03:54<1:40:42, 15.65s/it]
Epoch 14 | KGC loss: 2.009003, DiffHEG loss 81.421780:   4%|▍         | 15/400 [03:54<1:40:26, 15.65s/it]
Epoch 15 | KGC loss: 2.041046, DiffHEG loss 81.413266:   4%|▍         | 15/400 [04:10<1:40:26, 15.65s/it]
Epoch 15 | KGC loss: 2.041046, DiffHEG loss 81.413266:   4%|▍         | 16/400 [04:10<1:40:12, 15.66s/it]
Epoch 16 | KGC loss: 1.956953, DiffHEG loss 81.397262:   4%|▍         | 16/400 [04:25<1:40:12, 15.66s/it]
Epoch 16 | KGC loss: 1.956953, DiffHEG loss 81.397262:   4%|▍         | 17/400 [04:25<1:39:54, 15.65s/it]
Epoch 17 | KGC loss: 1.997131, DiffHEG loss 83.132946:   4%|▍         | 17/400 [04:41<1:39:54, 15.65s/it]
Epoch 17 | KGC loss: 1.997131, DiffHEG loss 83.132946:   4%|▍         | 18/400 [04:41<1:39:33, 15.64s/it]
Epoch 18 | KGC loss: 1.926261, DiffHEG loss 81.612821:   4%|▍         | 18/400 [04:57<1:39:33, 15.64s/it]
Epoch 18 | KGC loss: 1.926261, DiffHEG loss 81.612821:   5%|▍         | 19/400 [04:57<1:39:16, 15.63s/it]
Epoch 19 | KGC loss: 1.950853, DiffHEG loss 81.449903:   5%|▍         | 19/400 [05:12<1:39:16, 15.63s/it]
Epoch 19 | KGC loss: 1.950853, DiffHEG loss 81.449903:   5%|▌         | 20/400 [05:12<1:38:58, 15.63s/it]
Epoch 20 | KGC loss: 1.894967, DiffHEG loss 81.435103:   5%|▌         | 20/400 [05:28<1:38:58, 15.63s/it]
Epoch 20 | KGC loss: 1.894967, DiffHEG loss 81.435103:   5%|▌         | 21/400 [05:28<1:38:41, 15.62s/it]
Epoch 21 | KGC loss: 1.933678, DiffHEG loss 81.425686:   5%|▌         | 21/400 [05:43<1:38:41, 15.62s/it]
Epoch 21 | KGC loss: 1.933678, DiffHEG loss 81.425686:   6%|▌         | 22/400 [05:43<1:38:26, 15.63s/it]
Epoch 22 | KGC loss: 1.868741, DiffHEG loss 81.422496:   6%|▌         | 22/400 [05:59<1:38:26, 15.63s/it]
Epoch 22 | KGC loss: 1.868741, DiffHEG loss 81.422496:   6%|▌         | 23/400 [05:59<1:38:09, 15.62s/it]
Epoch 23 | KGC loss: 1.922777, DiffHEG loss 81.419406:   6%|▌         | 23/400 [06:15<1:38:09, 15.62s/it]
