method,entity_id,has_text,x1,x2,z_norm,beta_text
Zero Padding,8,0,-0.22735615074634552,-0.18273736536502838,0.43118739128112793,0.5264474749565125
Zero Padding,16,0,-0.31960034370422363,0.047243185341358185,0.48572540283203125,0.5668349862098694
Zero Padding,28,0,-0.20418529212474823,0.019436432048678398,0.4368719160556793,0.5203143954277039
Zero Padding,34,0,-0.22680075466632843,-0.18791912496089935,0.46116235852241516,0.522987961769104
Zero Padding,37,0,-0.314128041267395,-0.1076827347278595,0.4360393285751343,0.37977567315101624
Zero Padding,39,0,-0.23749828338623047,0.17586669325828552,0.4229540228843689,0.530251145362854
Zero Padding,42,0,-0.20649650692939758,0.01719615049660206,0.42437005043029785,0.5117852091789246
Zero Padding,45,0,-0.17853865027427673,0.007365574594587088,0.44792935252189636,0.5053756237030029
Zero Padding,49,0,-0.22931154072284698,-0.05495081841945648,0.3986479341983795,0.5284186005592346
Zero Padding,52,0,-0.21371892094612122,-0.20070752501487732,0.4618512988090515,0.5246401429176331
Zero Padding,66,0,-0.2506221532821655,0.13171593844890594,0.45536717772483826,0.519999623298645
Zero Padding,67,0,-0.3080224394798279,-0.13559511303901672,0.4413752555847168,0.5778101682662964
Zero Padding,77,0,-0.20658999681472778,-0.03252683952450752,0.46078482270240784,0.510926365852356
Zero Padding,81,0,-0.2890956997871399,-0.1272571086883545,0.47149932384490967,0.5523576140403748
Zero Padding,86,0,-0.20487864315509796,-0.10640820860862732,0.4207392930984497,0.5176716446876526
Zero Padding,98,0,-0.28474587202072144,0.2113870531320572,0.39901202917099,0.5511370301246643
Zero Padding,114,0,-0.311805784702301,-0.01738785207271576,0.41853296756744385,0.5641044974327087
Zero Padding,128,0,-0.24760082364082336,-0.04411930963397026,0.4065409004688263,0.5295552611351013
Zero Padding,133,0,-0.1791335791349411,-0.06999847292900085,0.4183736741542816,0.5076999068260193
Zero Padding,151,0,-0.2852509021759033,0.03560594841837883,0.4404889941215515,0.5622708201408386
Zero Padding,157,0,-0.291269987821579,0.02656039595603943,0.43435147404670715,0.5579042434692383
Zero Padding,169,0,-0.2533632218837738,-0.046387698501348495,0.4311940670013428,0.5354496836662292
Zero Padding,172,0,-0.2276020348072052,0.13315331935882568,0.434998482465744,0.5149377584457397
Zero Padding,175,0,-0.21726089715957642,-0.031736671924591064,0.3608570396900177,0.5258663892745972
Zero Padding,188,0,-0.1440407782793045,-0.16927340626716614,0.4770539700984955,0.49360567331314087
Zero Padding,192,0,-0.2160670906305313,0.020894765853881836,0.3916398882865906,0.5302039384841919
Zero Padding,193,0,-0.230491042137146,0.2465791255235672,0.4074093699455261,0.524848997592926
Zero Padding,194,0,-0.22484809160232544,-0.07493802905082703,0.4387948513031006,0.5236873030662537
Zero Padding,198,0,-0.2527933418750763,-0.20127111673355103,0.48248669505119324,0.5385643839836121
Zero Padding,205,0,-0.14503894746303558,-0.03334169089794159,0.4387652277946472,0.48225805163383484
Zero Padding,210,0,-0.3711218237876892,0.00887473113834858,0.5092090964317322,0.5999991297721863
Zero Padding,215,0,-0.19649910926818848,3.336160443723202e-05,0.3848956227302551,0.5169877409934998
Zero Padding,221,0,-0.24135014414787292,0.225475013256073,0.40540051460266113,0.5358709692955017
Zero Padding,234,0,-0.20997987687587738,0.029343772679567337,0.4560302793979645,0.5294703245162964
