method,split,MRR_mean,MRR_std,MR_mean,MR_std,H10_mean,H10_std,H3_mean,H3_std,H1_mean,H1_std
rotate_baseline,Overall,0.31837544838587445,0.0021330829775001226,877.645263671875,8.206792055372784,0.46509907643000287,0.0006754191954961291,0.36577757199605304,0.0016640669247866514,0.2329979787270228,0.0031615239342914193
rotate_baseline,Head/Tail Missing Text,0.2933387700154114,0.0038125684659987467,1364.8058103975536,25.511438964420055,0.43577981651376146,0.0015290519877675934,0.32823649337410804,0.0031829755343519045,0.21406727828746178,0.003058103975535159
rotate_baseline,Head/Tail Both Have Text,0.32045007527656505,0.0020078365910680108,837.2851110548096,8.056755608842018,0.467528080398615,0.0008434669519229072,0.36888776285786673,0.0015411103446410447,0.2345663373025927,0.0031703385431460034
rotate_baseline,Head/Tail Injected Missing Text,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
hard_mask,Overall,0.3209621012210846,0.002652389533845982,890.2331949869791,6.259905066799298,0.46732179323832196,0.003104736967472667,0.36394479870796204,0.0021089957619765914,0.23795039455095926,0.004622077860504529
hard_mask,Head/Tail Missing Text,0.27424286207963655,0.004284171964567412,1495.6778797145769,27.577750645095712,0.4260958205912334,0.0008827985767425524,0.30937818552497454,0.0017655971534851047,0.19367991845056065,0.007226017777144663
hard_mask,Head/Tail Both Have Text,0.3248329902105787,0.002547556967991703,840.0734735241956,5.953026107355898,0.47073726881175576,0.0033009410237637335,0.36846550122455873,0.002253073485677581,0.24161810657883626,0.004407125064821934
hard_mask,Head/Tail Injected Missing Text,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
soft_token,Overall,0.32625386118888855,0.0013299193615683468,855.0773722330729,6.932298212128312,0.4677897294362386,0.0002435296720723567,0.368741234143575,0.001582560629784965,0.24461862444877625,0.0026983017073904537
soft_token,Head/Tail Missing Text,0.3033831534392002,0.001365646469490944,1116.2910295616718,9.208489642116223,0.44189602446483184,0.004045491301321997,0.3328236493374108,0.0046713309836450955,0.22782874617737003,0.0015290519877675934
soft_token,Head/Tail Both Have Text,0.3281489828506237,0.0015339747435995448,833.4364073980238,7.623539519890613,0.4699349717084706,0.00014627572059529369,0.37171691580103033,0.0013426326404513491,0.24600962756523942,0.0030429217505610036
soft_token,Head/Tail Injected Missing Text,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
soft_token_retrieval,Overall,0.3205458919207255,0.00331472234266745,862.5390421549479,6.873168450552469,0.465489000082016,0.0027585110342850656,0.3669864336649577,0.0016585635254433818,0.23600062231222788,0.004738069995247714
soft_token_retrieval,Head/Tail Missing Text,0.29484527956584294,0.005122175172839113,1092.8078491335373,28.784587899932042,0.44036697247706424,0.007006996475467658,0.32619775739041795,0.0035311943069702098,0.2161060142711519,0.0063659510687037665
soft_token_retrieval,Head/Tail Both Have Text,0.32267555649856083,0.0031670518141691524,843.4617853221856,6.812344841358896,0.46757030656194576,0.0024661670045517934,0.37036567857444475,0.0016140118954156026,0.23764884722574106,0.004604201126269638
soft_token_retrieval,Head/Tail Injected Missing Text,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
soft_token_retrieval_guarded_hpsac,Overall,0.32405946555240084,0.0022028980921095266,854.5333021369521,6.972257707591233,0.4682966775854001,0.0029433190513357844,0.3698720948369989,0.001183434012283074,0.24009514896272033,0.003141980514503776
soft_token_retrieval_guarded_hpsac,Head/Tail Missing Text,0.29484527956584294,0.005122175172839113,1092.8078491335373,28.784587899932042,0.44036697247706424,0.007006996475467658,0.32619775739041795,0.0035311943069702098,0.2161060142711519,0.0063659510687037665
soft_token_retrieval_guarded_hpsac,Head/Tail Both Have Text,0.3264797946169066,0.00196111392980235,834.7927962165357,6.744922713269841,0.4706105903217634,0.002801285075689886,0.3734904146609239,0.0011770424680995154,0.24208259437547505,0.002877582136204843
