train_dhns_rotate.py:857: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:858: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
Experiment config | model=AdvMixRotatE | dataset=MKG-W | seed=0 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=legacy | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=False | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0021%
  available_text_before_injection: 14149
  additionally_masked_text_entities: 4245
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 5096 (33.9733%)
  missing_image_count: 537 (3.5800%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=17 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=legacy | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 380.165840, DiffHEG loss 127.710613:   0%|          | 0/400 [00:15<?, ?it/s]
Epoch 0 | KGC loss: 380.165840, DiffHEG loss 127.710613:   0%|          | 1/400 [00:15<1:41:12, 15.22s/it]
Epoch 1 | KGC loss: 14.281333, DiffHEG loss 84.090314:   0%|          | 1/400 [00:30<1:41:12, 15.22s/it]  
Epoch 1 | KGC loss: 14.281333, DiffHEG loss 84.090314:   0%|          | 2/400 [00:30<1:39:57, 15.07s/it]
Epoch 2 | KGC loss: 8.083641, DiffHEG loss 81.796136:   0%|          | 2/400 [00:45<1:39:57, 15.07s/it] 
Epoch 2 | KGC loss: 8.083641, DiffHEG loss 81.796136:   1%|          | 3/400 [00:45<1:39:26, 15.03s/it]
Epoch 3 | KGC loss: 5.585921, DiffHEG loss 81.494062:   1%|          | 3/400 [01:00<1:39:26, 15.03s/it]
Epoch 3 | KGC loss: 5.585921, DiffHEG loss 81.494062:   1%|          | 4/400 [01:00<1:38:59, 15.00s/it]
Epoch 4 | KGC loss: 4.123675, DiffHEG loss 81.684198:   1%|          | 4/400 [01:15<1:38:59, 15.00s/it]
Epoch 4 | KGC loss: 4.123675, DiffHEG loss 81.684198:   1%|▏         | 5/400 [01:15<1:38:40, 14.99s/it]
Epoch 5 | KGC loss: 3.484796, DiffHEG loss 81.485490:   1%|▏         | 5/400 [01:30<1:38:40, 14.99s/it]
Epoch 5 | KGC loss: 3.484796, DiffHEG loss 81.485490:   2%|▏         | 6/400 [01:30<1:38:23, 14.98s/it]
Epoch 6 | KGC loss: 2.958862, DiffHEG loss 81.556163:   2%|▏         | 6/400 [01:45<1:38:23, 14.98s/it]
Epoch 6 | KGC loss: 2.958862, DiffHEG loss 81.556163:   2%|▏         | 7/400 [01:45<1:38:08, 14.98s/it]
Epoch 7 | KGC loss: 2.720052, DiffHEG loss 81.439636:   2%|▏         | 7/400 [02:00<1:38:08, 14.98s/it]
Epoch 7 | KGC loss: 2.720052, DiffHEG loss 81.439636:   2%|▏         | 8/400 [02:00<1:37:53, 14.98s/it]
Epoch 8 | KGC loss: 2.457839, DiffHEG loss 81.494095:   2%|▏         | 8/400 [02:15<1:37:53, 14.98s/it]
Epoch 8 | KGC loss: 2.457839, DiffHEG loss 81.494095:   2%|▏         | 9/400 [02:15<1:37:37, 14.98s/it]
Epoch 9 | KGC loss: 2.370216, DiffHEG loss 81.444082:   2%|▏         | 9/400 [02:29<1:37:37, 14.98s/it]
Epoch 9 | KGC loss: 2.370216, DiffHEG loss 81.444082:   2%|▎         | 10/400 [02:29<1:37:20, 14.97s/it]
Epoch 10 | KGC loss: 2.216211, DiffHEG loss 81.610917:   2%|▎         | 10/400 [02:44<1:37:20, 14.97s/it]
Epoch 10 | KGC loss: 2.216211, DiffHEG loss 81.610917:   3%|▎         | 11/400 [02:44<1:37:04, 14.97s/it]
Epoch 11 | KGC loss: 2.197714, DiffHEG loss 81.444860:   3%|▎         | 11/400 [02:59<1:37:04, 14.97s/it]
Epoch 11 | KGC loss: 2.197714, DiffHEG loss 81.444860:   3%|▎         | 12/400 [02:59<1:36:50, 14.98s/it]
Epoch 12 | KGC loss: 2.074474, DiffHEG loss 81.447332:   3%|▎         | 12/400 [03:14<1:36:50, 14.98s/it]
Epoch 12 | KGC loss: 2.074474, DiffHEG loss 81.447332:   3%|▎         | 13/400 [03:14<1:36:35, 14.98s/it]
Epoch 13 | KGC loss: 2.088402, DiffHEG loss 81.599095:   3%|▎         | 13/400 [03:29<1:36:35, 14.98s/it]
Epoch 13 | KGC loss: 2.088402, DiffHEG loss 81.599095:   4%|▎         | 14/400 [03:29<1:36:19, 14.97s/it]
Epoch 14 | KGC loss: 2.002704, DiffHEG loss 81.455546:   4%|▎         | 14/400 [03:44<1:36:19, 14.97s/it]
Epoch 14 | KGC loss: 2.002704, DiffHEG loss 81.455546:   4%|▍         | 15/400 [03:44<1:36:05, 14.97s/it]
Epoch 15 | KGC loss: 2.032530, DiffHEG loss 81.443352:   4%|▍         | 15/400 [03:59<1:36:05, 14.97s/it]
Epoch 15 | KGC loss: 2.032530, DiffHEG loss 81.443352:   4%|▍         | 16/400 [03:59<1:35:49, 14.97s/it]
Epoch 16 | KGC loss: 1.954033, DiffHEG loss 81.435301:   4%|▍         | 16/400 [04:14<1:35:49, 14.97s/it]
Epoch 16 | KGC loss: 1.954033, DiffHEG loss 81.435301:   4%|▍         | 17/400 [04:14<1:35:34, 14.97s/it]
Epoch 17 | KGC loss: 1.996364, DiffHEG loss 81.449234:   4%|▍         | 17/400 [04:29<1:35:34, 14.97s/it]
Epoch 17 | KGC loss: 1.996364, DiffHEG loss 81.449234:   4%|▍         | 18/400 [04:29<1:35:19, 14.97s/it]
Epoch 18 | KGC loss: 1.927607, DiffHEG loss 81.447609:   4%|▍         | 18/400 [04:44<1:35:19, 14.97s/it]
Epoch 18 | KGC loss: 1.927607, DiffHEG loss 81.447609:   5%|▍         | 19/400 [04:44<1:35:04, 14.97s/it]
Epoch 19 | KGC loss: 1.950583, DiffHEG loss 81.438081:   5%|▍         | 19/400 [04:59<1:35:04, 14.97s/it]
Epoch 19 | KGC loss: 1.950583, DiffHEG loss 81.438081:   5%|▌         | 20/400 [04:59<1:34:47, 14.97s/it]
Epoch 20 | KGC loss: 1.887669, DiffHEG loss 81.448113:   5%|▌         | 20/400 [05:14<1:34:47, 14.97s/it]
Epoch 20 | KGC loss: 1.887669, DiffHEG loss 81.448113:   5%|▌         | 21/400 [05:14<1:34:31, 14.96s/it]
Epoch 21 | KGC loss: 1.927207, DiffHEG loss 81.446666:   5%|▌         | 21/400 [05:29<1:34:31, 14.96s/it]
Epoch 21 | KGC loss: 1.927207, DiffHEG loss 81.446666:   6%|▌         | 22/400 [05:29<1:34:18, 14.97s/it]
Epoch 22 | KGC loss: 1.870053, DiffHEG loss 81.450240:   6%|▌         | 22/400 [05:44<1:34:18, 14.97s/it]
Epoch 22 | KGC loss: 1.870053, DiffHEG loss 81.450240:   6%|▌         | 23/400 [05:44<1:34:02, 14.97s/it]
Epoch 23 | KGC loss: 1.921520, DiffHEG loss 81.453724:   6%|▌         | 23/400 [05:59<1:34:02, 14.97s/it]
Epoch 23 | KGC loss: 1.921520, DiffHEG loss 81.453724:   6%|▌         | 24/400 [05:59<1:33:46, 14.97s/it]
Epoch 24 | KGC loss: 1.860562, DiffHEG loss 81.449158:   6%|▌         | 24/400 [06:14<1:33:46, 14.97s/it]
Epoch 24 | KGC loss: 1.860562, DiffHEG loss 81.449158:   6%|▋         | 25/400 [06:14<1:33:30, 14.96s/it]
Epoch 25 | KGC loss: 1.900040, DiffHEG loss 81.448842:   6%|▋         | 25/400 [06:29<1:33:30, 14.96s/it]
Epoch 25 | KGC loss: 1.900040, DiffHEG loss 81.448842:   6%|▋         | 26/400 [06:29<1:33:15, 14.96s/it]
Epoch 26 | KGC loss: 1.861676, DiffHEG loss 81.450164:   6%|▋         | 26/400 [06:44<1:33:15, 14.96s/it]
Epoch 26 | KGC loss: 1.861676, DiffHEG loss 81.450164:   7%|▋         | 27/400 [06:44<1:33:01, 14.96s/it]
Epoch 27 | KGC loss: 1.907226, DiffHEG loss 81.453523:   7%|▋         | 27/400 [06:59<1:33:01, 14.96s/it]
Epoch 27 | KGC loss: 1.907226, DiffHEG loss 81.453523:   7%|▋         | 28/400 [06:59<1:32:45, 14.96s/it]
Epoch 28 | KGC loss: 1.843494, DiffHEG loss 81.458185:   7%|▋         | 28/400 [07:14<1:32:45, 14.96s/it]
Epoch 28 | KGC loss: 1.843494, DiffHEG loss 81.458185:   7%|▋         | 29/400 [07:14<1:32:30, 14.96s/it]
Epoch 29 | KGC loss: 1.888279, DiffHEG loss 81.451729:   7%|▋         | 29/400 [07:29<1:32:30, 14.96s/it]
