train_dhns_rotate.py:857: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:858: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
Experiment config | model=AdvMixRotatE | dataset=MKG-Y | seed=0 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=legacy | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=False | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0016%
  available_text_before_injection: 12316
  additionally_masked_text_entities: 3695
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 6379 (42.5267%)
  missing_image_count: 756 (5.0400%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=10 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=legacy | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 266.744097, DiffHEG loss 89.085552:   0%|          | 0/400 [00:09<?, ?it/s]
Epoch 0 | KGC loss: 266.744097, DiffHEG loss 89.085552:   0%|          | 1/400 [00:09<1:00:20,  9.07s/it]
Epoch 1 | KGC loss: 12.076657, DiffHEG loss 61.240208:   0%|          | 1/400 [00:17<1:00:20,  9.07s/it] 
Epoch 1 | KGC loss: 12.076657, DiffHEG loss 61.240208:   0%|          | 2/400 [00:17<59:12,  8.92s/it]  
Epoch 2 | KGC loss: 6.560883, DiffHEG loss 50.978052:   0%|          | 2/400 [00:26<59:12,  8.92s/it] 
Epoch 2 | KGC loss: 6.560883, DiffHEG loss 50.978052:   1%|          | 3/400 [00:26<58:43,  8.87s/it]
Epoch 3 | KGC loss: 4.460864, DiffHEG loss 48.566378:   1%|          | 3/400 [00:35<58:43,  8.87s/it]
Epoch 3 | KGC loss: 4.460864, DiffHEG loss 48.566378:   1%|          | 4/400 [00:35<58:24,  8.85s/it]
Epoch 4 | KGC loss: 3.163742, DiffHEG loss 48.099630:   1%|          | 4/400 [00:44<58:24,  8.85s/it]
Epoch 4 | KGC loss: 3.163742, DiffHEG loss 48.099630:   1%|▏         | 5/400 [00:44<58:08,  8.83s/it]
Epoch 5 | KGC loss: 2.357577, DiffHEG loss 47.960120:   1%|▏         | 5/400 [00:53<58:08,  8.83s/it]
Epoch 5 | KGC loss: 2.357577, DiffHEG loss 47.960120:   2%|▏         | 6/400 [00:53<57:57,  8.83s/it]
Epoch 6 | KGC loss: 1.820281, DiffHEG loss 47.911051:   2%|▏         | 6/400 [01:01<57:57,  8.83s/it]
Epoch 6 | KGC loss: 1.820281, DiffHEG loss 47.911051:   2%|▏         | 7/400 [01:01<57:46,  8.82s/it]
Epoch 7 | KGC loss: 1.458123, DiffHEG loss 47.895375:   2%|▏         | 7/400 [01:10<57:46,  8.82s/it]
Epoch 7 | KGC loss: 1.458123, DiffHEG loss 47.895375:   2%|▏         | 8/400 [01:10<57:37,  8.82s/it]
Epoch 8 | KGC loss: 1.204600, DiffHEG loss 47.883737:   2%|▏         | 8/400 [01:19<57:37,  8.82s/it]
Epoch 8 | KGC loss: 1.204600, DiffHEG loss 47.883737:   2%|▏         | 9/400 [01:19<57:27,  8.82s/it]
Epoch 9 | KGC loss: 1.050745, DiffHEG loss 47.882691:   2%|▏         | 9/400 [01:28<57:27,  8.82s/it]
Epoch 9 | KGC loss: 1.050745, DiffHEG loss 47.882691:   2%|▎         | 10/400 [01:28<57:17,  8.81s/it]
Epoch 10 | KGC loss: 0.907776, DiffHEG loss 47.890017:   2%|▎         | 10/400 [01:37<57:17,  8.81s/it]
Epoch 10 | KGC loss: 0.907776, DiffHEG loss 47.890017:   3%|▎         | 11/400 [01:37<57:08,  8.81s/it]
Epoch 11 | KGC loss: 0.803467, DiffHEG loss 47.881104:   3%|▎         | 11/400 [01:46<57:08,  8.81s/it]
Epoch 11 | KGC loss: 0.803467, DiffHEG loss 47.881104:   3%|▎         | 12/400 [01:46<56:59,  8.81s/it]
Epoch 12 | KGC loss: 0.746981, DiffHEG loss 47.885465:   3%|▎         | 12/400 [01:54<56:59,  8.81s/it]
Epoch 12 | KGC loss: 0.746981, DiffHEG loss 47.885465:   3%|▎         | 13/400 [01:54<56:51,  8.82s/it]
Epoch 13 | KGC loss: 0.676403, DiffHEG loss 47.892799:   3%|▎         | 13/400 [02:03<56:51,  8.82s/it]
Epoch 13 | KGC loss: 0.676403, DiffHEG loss 47.892799:   4%|▎         | 14/400 [02:03<56:42,  8.82s/it]
Epoch 14 | KGC loss: 0.626476, DiffHEG loss 47.886470:   4%|▎         | 14/400 [02:12<56:42,  8.82s/it]
Epoch 14 | KGC loss: 0.626476, DiffHEG loss 47.886470:   4%|▍         | 15/400 [02:12<56:32,  8.81s/it]
Epoch 15 | KGC loss: 0.590893, DiffHEG loss 47.884071:   4%|▍         | 15/400 [02:21<56:32,  8.81s/it]
Epoch 15 | KGC loss: 0.590893, DiffHEG loss 47.884071:   4%|▍         | 16/400 [02:21<56:23,  8.81s/it]
Epoch 16 | KGC loss: 0.565128, DiffHEG loss 47.889964:   4%|▍         | 16/400 [02:30<56:23,  8.81s/it]
Epoch 16 | KGC loss: 0.565128, DiffHEG loss 47.889964:   4%|▍         | 17/400 [02:30<56:15,  8.81s/it]
Epoch 17 | KGC loss: 0.535765, DiffHEG loss 47.884753:   4%|▍         | 17/400 [02:38<56:15,  8.81s/it]
Epoch 17 | KGC loss: 0.535765, DiffHEG loss 47.884753:   4%|▍         | 18/400 [02:38<56:04,  8.81s/it]
Epoch 18 | KGC loss: 0.522172, DiffHEG loss 47.881503:   4%|▍         | 18/400 [02:47<56:04,  8.81s/it]
Epoch 18 | KGC loss: 0.522172, DiffHEG loss 47.881503:   5%|▍         | 19/400 [02:47<55:55,  8.81s/it]
Epoch 19 | KGC loss: 0.502663, DiffHEG loss 47.887579:   5%|▍         | 19/400 [02:56<55:55,  8.81s/it]
Epoch 19 | KGC loss: 0.502663, DiffHEG loss 47.887579:   5%|▌         | 20/400 [02:56<55:46,  8.81s/it]
Epoch 20 | KGC loss: 0.479692, DiffHEG loss 47.887982:   5%|▌         | 20/400 [03:05<55:46,  8.81s/it]
Epoch 20 | KGC loss: 0.479692, DiffHEG loss 47.887982:   5%|▌         | 21/400 [03:05<55:37,  8.81s/it]
Epoch 21 | KGC loss: 0.485239, DiffHEG loss 47.887231:   5%|▌         | 21/400 [03:14<55:37,  8.81s/it]
Epoch 21 | KGC loss: 0.485239, DiffHEG loss 47.887231:   6%|▌         | 22/400 [03:14<55:29,  8.81s/it]
Epoch 22 | KGC loss: 0.465004, DiffHEG loss 47.894959:   6%|▌         | 22/400 [03:22<55:29,  8.81s/it]
Epoch 22 | KGC loss: 0.465004, DiffHEG loss 47.894959:   6%|▌         | 23/400 [03:22<55:21,  8.81s/it]
Epoch 23 | KGC loss: 0.456136, DiffHEG loss 47.893132:   6%|▌         | 23/400 [03:31<55:21,  8.81s/it]
Epoch 23 | KGC loss: 0.456136, DiffHEG loss 47.893132:   6%|▌         | 24/400 [03:31<55:13,  8.81s/it]
Epoch 24 | KGC loss: 0.447392, DiffHEG loss 47.900495:   6%|▌         | 24/400 [03:40<55:13,  8.81s/it]
Epoch 24 | KGC loss: 0.447392, DiffHEG loss 47.900495:   6%|▋         | 25/400 [03:40<55:03,  8.81s/it]
Epoch 25 | KGC loss: 0.441102, DiffHEG loss 47.902993:   6%|▋         | 25/400 [03:49<55:03,  8.81s/it]
Epoch 25 | KGC loss: 0.441102, DiffHEG loss 47.902993:   6%|▋         | 26/400 [03:49<54:53,  8.81s/it]
Epoch 26 | KGC loss: 0.438207, DiffHEG loss 47.898619:   6%|▋         | 26/400 [03:58<54:53,  8.81s/it]
Epoch 26 | KGC loss: 0.438207, DiffHEG loss 47.898619:   7%|▋         | 27/400 [03:58<54:43,  8.80s/it]
Epoch 27 | KGC loss: 0.442065, DiffHEG loss 47.890557:   7%|▋         | 27/400 [04:06<54:43,  8.80s/it]
Epoch 27 | KGC loss: 0.442065, DiffHEG loss 47.890557:   7%|▋         | 28/400 [04:06<54:35,  8.81s/it]
Epoch 28 | KGC loss: 0.427231, DiffHEG loss 47.892050:   7%|▋         | 28/400 [04:15<54:35,  8.81s/it]
Epoch 28 | KGC loss: 0.427231, DiffHEG loss 47.892050:   7%|▋         | 29/400 [04:15<54:28,  8.81s/it]
Epoch 29 | KGC loss: 0.422057, DiffHEG loss 47.901924:   7%|▋         | 29/400 [04:24<54:28,  8.81s/it]
Epoch 29 | KGC loss: 0.422057, DiffHEG loss 47.901924:   8%|▊         | 30/400 [04:24<54:18,  8.81s/it]
